영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
명량,김한민,(주)씨제이이엔엠,2014-07-30,장편,한국,1587,135748398910,17613682,"33,121,225,810","4,163,666",사극,15세관람가,일반영화
극한직업,이병헌,(주)씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516,16264944,"31,858,660,536","3,638,287",코미디,15세관람가,일반영화
신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,장편,한국,1912,115698654137,14410754,"27,530,825,087","3,346,172",판타지,12세관람가,일반영화
국제시장,윤제균,(주)씨제이이엔엠,2014-12-17,장편,한국,966,110828014630,14245998,"25,842,519,330","3,233,946",드라마,12세관람가,일반영화
어벤져스: 엔드게임,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,장편,미국,2835,122182694160,13934592,"33,577,136,860","3,597,963",액션,12세관람가,일반영화
겨울왕국 2,"크리스 벅,제니퍼 리",월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,장편,미국,2648,114810421450,13747792,"28,824,682,580","3,225,974",애니메이션,전체관람가,일반영화
아바타,제임스 카메론,주식회사 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,"40,547,523,000","3,993,374",SF,12세관람가,독립/예술영화
베테랑,류승완,(주)씨제이이엔엠,2015-08-05,장편,한국,1064,105024756250,13395400,"26,766,369,950","3,290,366",액션,15세관람가,일반영화
괴물,봉준호,(주)쇼박스,2006-07-27,장편,한국,0,0,13019740,0,"3,571,254",SF,12세관람가,일반영화
도둑들,최동훈,(주)쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,"26,089,426,500","3,468,906",액션,15세관람가,일반영화
7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,장편,한국,787,91431914670,12811206,"22,800,931,670","3,070,053",코미디,15세관람가,일반영화
암살,최동훈,(주)쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,"25,306,651,181","3,155,960",액션,15세관람가,일반영화
범죄도시2,이상용,주식회사 에이비오엔터테인먼트,2022-05-18,장편,한국,2498,131293353478,12692959,"29,072,759,869","2,755,760",범죄,15세관람가,일반영화
알라딘,가이 리치,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,장편,미국,1311,106983620359,12555894,"30,218,911,039","3,377,404",어드벤처,전체관람가,일반영화
"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13,장편,한국,810,88900208769,12319542,"25,192,804,727","3,355,700",사극,15세관람가,일반영화
왕의 남자,이준익,(주)시네마서비스,2005-12-29,장편,한국,0,0,12302831,0,"3,660,842",드라마,15세관람가,일반영화
신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,장편,한국,2235,102476768809,12253247,"22,905,551,759","2,636,542",판타지,12세관람가,일반영화
택시운전사,장훈,(주)쇼박스,2017-08-02,장편,한국,1906,95284747049,12099971,"22,186,916,199","2,729,932",드라마,15세관람가,일반영화
태극기 휘날리며,강제규,(주)다자인소프트,2004-02-05,장편,한국,0,0,11746135,0,"3,509,563",전쟁,15세관람가,일반영화
부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,장편,한국,1788,93175877048,11565078,"23,020,827,248","2,754,686",액션,15세관람가,일반영화
해운대,윤제균,(주)씨제이이엔엠,2009-07-22,장편,한국,753,81934638201,11453338,"21,141,403,500","2,791,508",액션,12세관람가,일반영화
변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,장편,한국,923,82856578300,11372451,"22,571,929,000","2,978,688",드라마,15세관람가,일반영화
어벤져스: 인피니티 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,"28,631,269,069","3,008,819",액션,12세관람가,일반영화
실미도,강우석,(주)시네마서비스,2003-12-24,장편,한국,0,0,11081000,0,"3,264,000",전쟁,15세관람가,일반영화
아바타: 물의 길,제임스 카메론,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,장편,미국,2809,137325939643,10779198,"35,339,578,744","2,612,163",액션,12세관람가,일반영화
어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아 유한책임회사,2015-04-23,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세관람가,일반영화
기생충,봉준호,(주)씨제이이엔엠,2019-05-30,장편,한국,1948,87459829095,10313086,"24,128,560,195","2,790,209",드라마,15세관람가,일반영화
겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세관람가,일반영화
보헤미안 랩소디,브라이언 싱어,월트디즈니컴퍼니코리아 유한책임회사,2018-10-31,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세관람가,일반영화
검사외전,이일형,(주)쇼박스,2016-02-03,장편,한국,1812,77252755264,9699092,"18,302,525,664","2,219,587",범죄,15세관람가,일반영화
엑시트,이상근,(주)씨제이이엔엠,2019-07-31,장편,한국,1660,79232212162,9426051,"18,533,549,352","2,132,869",코미디,12세관람가,일반영화
관상,한재림,(주)쇼박스,2013-09-11,장편,한국,1190,66005451500,9134586,"19,311,179,000","2,561,744",사극,15세관람가,일반영화
아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,장편,미국,1381,70806191000,9001309,"21,668,935,500","2,595,269",액션,12세관람가,일반영화
설국열차,봉준호,(주)씨제이이엔엠,2013-08-01,장편,한국,1128,64016480000,8914845,"18,975,866,000","2,550,437",SF,15세관람가,일반영화
캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2016-04-27,장편,미국,1991,72672111827,8677249,"21,248,121,149","2,400,069",액션,12세관람가,일반영화
수상한 그녀,황동혁,(주)씨제이이엔엠,2014-01-22,장편,한국,692,62696639249,8656397,"15,358,810,049","2,042,110",드라마,15세관람가,일반영화
해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,장편,한국,838,66240631706,8646758,"14,906,345,006","1,868,694",어드벤처,12세관람가,일반영화
국가대표,김용화,(주)쇼박스,2009-07-29,장편,한국,580,60896633308,8487894,"16,782,332,500","2,213,346",드라마,12세관람가,일반영화
디워,심형래,(주)쇼박스,2007-08-01,장편,한국,0,0,8426973,0,"2,098,438",액션,12세관람가,일반영화
백두산,"이해준,김병서",(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,"15,055,877,210","1,724,785",어드벤처,12세관람가,일반영화
과속스캔들,강형철,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,장편,한국,405,53940101534,8245523,"16,515,292,833","2,390,408",코미디,12세관람가,일반영화
탑건: 매버릭,조셉 코신스키,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,장편,미국,1975,87855360975,8177446,"25,925,045,991","2,309,600",액션,12세관람가,일반영화
스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,장편,미국,2142,69000711100,8020208,"18,515,112,400","2,051,196",액션,12세관람가,일반영화
웰컴 투 동막골,박광현,(주)쇼박스,2005-08-04,장편,한국,0,0,8008622,0,"2,435,088",전쟁,12세관람가,일반영화
공조,김성훈,(주)씨제이이엔엠,2017-01-18,장편,한국,976,63781731326,7817446,"14,672,808,676","1,744,624",액션,15세관람가,일반영화
트랜스포머 3,마이클 베이,(주)씨제이이엔엠,2011-06-29,장편,미국,1409,74841350500,7784807,"21,746,223,000","2,143,018",액션,12세관람가,일반영화
히말라야,이석훈,(주)씨제이이엔엠,2015-12-16,장편,한국,1009,60173583015,7759473,"13,920,553,930","1,738,016",드라마,12세관람가,일반영화
미션임파서블:고스트프로토콜,브래드 버드,(주)씨제이이엔엠,2011-12-15,장편,미국,1038,57795846000,7575899,"18,719,283,500","2,347,164",액션,15세관람가,일반영화
스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,장편,미국,2948,75193912210,7551990,"21,054,819,760","2,041,418",액션,12세관람가,일반영화
트랜스포머: 패자의 역습,마이클 베이,(주)씨제이이엔엠,2009-06-24,장편,미국,1129,51478531663,7505700,"16,083,028,500","2,200,557",SF,12세관람가,일반영화
밀정,김지운,워너브러더스 코리아(주),2016-09-07,장편,한국,1444,61158644831,7487545,"15,436,298,021","1,827,424",액션,15세관람가,일반영화
최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,장편,한국,615,55808856500,7466976,"16,139,541,000","2,059,847",사극,15세관람가,일반영화
트랜스포머,마이클 베이,(주)씨제이이엔엠,2007-06-28,장편,미국,0,0,7440531,0,"2,300,866",SF,12세관람가,일반영화
써니,강형철,(주)씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,"15,401,904,600","2,004,824",드라마,15세관람가,일반영화
화려한 휴가,김지훈,(주)씨제이이엔엠,2007-07-25,장편,한국,0,0,7307993,0,"2,009,666",드라마,12세관람가,일반영화
한산: 용의 출현,김한민,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,장편,한국,2223,73700628377,7264934,"15,974,849,913","1,513,672",액션,12세관람가,일반영화
스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,"16,753,103,620","1,969,107",액션,12세관람가,일반영화
1987,장준환,(주)씨제이이엔엠,2017-12-27,장편,한국,1299,58165581145,7231638,"14,638,920,495","1,776,877",드라마,15세관람가,일반영화
베를린,류승완,(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,"16,070,379,637","2,118,794",액션,15세관람가,일반영화
마스터,조의석,(주)씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,"14,520,299,965","1,731,940",액션,15세관람가,일반영화
터널,김성훈,(주)쇼박스,2016-08-10,장편,한국,1105,57510324417,7118592,"14,121,558,017","1,675,010",드라마,12세관람가,일반영화
어벤져스,조스 웨던,월트디즈니컴퍼니코리아 유한책임회사,2012-04-26,장편,미국,967,59557853478,7074867,"19,280,107,897","2,147,619",액션,12세관람가,일반영화
내부자들,우민호,(주)쇼박스,2015-11-19,장편,한국,1075,56596582057,7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
인천상륙작전,이재한,(주)씨제이이엔엠,2016-07-27,장편,한국,1049,55101410303,7049643,"11,459,996,563","1,427,944",전쟁,12세관람가,일반영화
공조2: 인터내셔날,이석훈,(주)씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586,6979319,"15,028,120,901","1,444,987",액션,15세관람가,일반영화
럭키,이계벽,(주)쇼박스,2016-10-13,장편,한국,1158,56361435256,6965706,"13,812,629,836","1,640,015",코미디,15세관람가,일반영화
은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,장편,한국,1341,48663939413,6953800,"12,415,574,413","1,691,014",액션,15세관람가,일반영화
곡성,나홍진,이십세기폭스코리아(주),2016-05-12,장편,한국,1485,55853108382,6878264,"15,445,041,342","1,829,923",미스터리,15세관람가,일반영화
범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,장편,한국,1315,56077813249,6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
타짜,최동훈,(주)씨제이이엔엠,2006-09-28,장편,한국,0,0,6847777,0,"2,091,058",드라마,청소년관람불가,일반영화
"좋은 놈, 나쁜 놈, 이상한 놈",김지운,(주)씨제이이엔엠,2008-07-17,장편,한국,825,43768628939,6686912,"13,860,913,000","2,012,173",서부극(웨스턴),15세관람가,일반영화
늑대소년,조성희,(주)씨제이이엔엠,2012-10-31,장편,한국,706,46593107500,6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세관람가,일반영화
미녀는 괴로워,김용화,(주)쇼박스,2006-12-14,장편,한국,0,0,6619498,0,"1,934,910",멜로/로맨스,12세관람가,일반영화
군함도,류승완,(주)씨제이이엔엠,2017-07-26,장편,한국,2027,50510565168,6592151,"11,091,878,868","1,398,649",액션,15세관람가,일반영화
미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,장편,미국,1957,55888375112,6584915,"14,891,043,562","1,686,255",액션,15세관람가,일반영화
다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,장편,미국,1210,47644838000,6396528,"16,258,149,500","2,057,529",액션,15세관람가,일반영화
아저씨,이정범,(주)씨제이이엔엠,2010-08-04,장편,한국,478,47870792359,6282774,"14,820,865,000","1,863,328",액션,청소년관람불가,일반영화
사도,이준익,(주)쇼박스,2015-09-16,장편,한국,1210,48842902501,6246849,"12,987,928,301","1,606,486",사극,12세관람가,일반영화
전우치,최동훈,(주)씨제이이엔엠,2009-12-23,장편,한국,606,44605437017,6136928,"12,917,834,500","1,684,123",액션,12세관람가,일반영화
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,장편,미국,1202,48547353607,6126488,"13,751,315,607","1,669,524",액션,15세관람가,일반영화
킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),2015-02-11,장편,미국,706,50333635795,6125154,"16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
투사부일체,김동원,(주)씨제이이엔엠,2006-01-19,장편,한국,0,0,6105431,0,"1,502,821",코미디,15세관람가,일반영화
연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,장편,한국,1013,45560620330,6043458,"9,906,059,630","1,265,879",드라마,12세관람가,일반영화
반지의 제왕 : 왕의 귀환,피터 잭슨,워너브러더스 코리아(주),2003-12-17,장편,미국,0,0,5960000,0,"1,905,567",판타지,12세관람가,일반영화
인셉션,크리스토퍼 놀란,(주)디스테이션,2010-07-21,장편,미국,528,44106546302,5926948,"15,810,485,000","2,026,998",드라마,12세관람가,일반영화
레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,장편,미국,696,43044999000,5911890,"16,482,217,500","2,190,090",드라마,12세관람가,일반영화
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,장편,미국,2691,62648728870,5884587,"18,021,250,750","1,610,656",액션,12세관람가,일반영화
캡틴 마블,"애너 보든,라이언 플렉",월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,장편,미국,2100,51491272223,5801069,"15,433,909,683","1,650,932",액션,12세관람가,일반영화
미션 임파서블 3,J.J. 에이브럼스,UIP코리아,2006-05-03,장편,미국,0,0,5740789,0,"1,584,202",액션,15세관람가,일반영화
쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,장편,미국,1972,49770711037,5661128,"12,526,470,537","1,342,621",액션,12세관람가,일반영화
청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,장편,한국,1102,44241099316,5636259,"9,885,607,016","1,207,318",액션,15세관람가,일반영화
가문의 위기(가문의 영광2),정용기,(주)쇼박스,2005-09-07,장편,한국,0,0,5635266,0,"1,451,468",코미디,15세관람가,일반영화
숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,장편,한국,779,39593038500,5602543,"10,079,982,000","1,356,936",스릴러,15세관람가,일반영화
덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,장편,한국,964,44344141109,5593551,"10,625,578,869","1,304,324",사극,12세관람가,일반영화
더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,장편,한국,743,39866712881,5583596,"11,349,884,881","1,525,130",범죄,15세관람가,일반영화
쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,장편,미국,1290,47800698826,5546792,"13,625,824,326","1,502,391",액션,12세관람가,일반영화
의형제,장훈,(주)쇼박스,2010-02-04,장편,한국,572,40800867602,5507106,"12,204,373,500","1,563,042",드라마,15세관람가,일반영화
감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013-07-03,장편,한국,949,39298005179,5496547,"11,031,549,179","1,477,594",범죄,15세관람가,일반영화
2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,장편,미국,789,39415166660,5462953,"11,671,854,500","1,528,658",SF,12세관람가,일반영화
앤트맨과 와스프,페이튼 리드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,장편,미국,1775,47465443185,5447826,"13,821,594,585","1,503,229",액션,12세관람가,일반영화
닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),2016-10-26,장편,미국,1503,47482530396,5446379,"15,365,072,146","1,657,823",액션,12세관람가,일반영화
검은 사제들,장재현,(주)씨제이이엔엠,2015-11-05,장편,한국,1088,42395347092,5440945,"11,618,059,792","1,428,491",미스터리,15세관람가,일반영화
안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,장편,한국,1540,46335334026,5440186,"10,028,662,426","1,146,191",사극,12세관람가,일반영화
블랙 팬서,라이언 쿠글러,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,장편,미국,1620,45883143457,5398994,"13,105,688,057","1,468,761",액션,12세관람가,일반영화
더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,장편,한국,1310,43486078535,5316325,"11,144,618,435","1,318,493",범죄,15세관람가,일반영화
완득이,이한,(주)씨제이이엔엠,2011-10-20,장편,한국,500,38530503500,5310510,"11,657,798,500","1,525,277",드라마,12세관람가,일반영화
트랜스포머: 사라진 시대,마이클 베이,(주)씨제이이엔엠,2014-06-25,장편,미국,1602,44012272845,5295801,"11,664,376,045","1,323,527",액션,12세관람가,일반영화
완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,장편,한국,1313,44356752474,5294119,"11,870,044,374","1,373,292",드라마,15세관람가,일반영화
조커,토드 필립스,워너브러더스 코리아(주),2019-10-02,장편,미국,1418,45442252130,5255228,"14,704,552,340","1,638,904",액션,15세관람가,일반영화
월드 워 Z,마크 포스터,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,장편,미국,964,38555357000,5237525,"12,048,296,500","1,562,677",드라마,15세관람가,일반영화
반지의 제왕 : 두개의 탑,피터 잭슨,워너브러더스 코리아(주),2002-12-19,장편,미국,0,0,5183000,0,"836,065",액션,12세관람가,일반영화
타워,김지훈,(주)씨제이이엔엠,2012-12-25,장편,한국,617,37654858000,5181014,"9,052,298,500","1,186,378",드라마,12세관람가,일반영화
말아톤,정윤철,(주)쇼박스,2005-01-27,장편,한국,0,0,5148022,0,"1,552,548",드라마,전체관람가,일반영화
미녀와 야수,빌 콘돈,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,장편,미국,1627,42130589579,5137993,"13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
추격자,나홍진,(주)쇼박스,2008-02-14,장편,한국,435,33943278500,5071619,"11,611,882,500","1,662,668",범죄,청소년관람불가,일반영화
독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,장편,한국,1357,43484892913,5063620,"10,658,158,413","1,201,461",범죄,15세관람가,일반영화
쿵푸팬더 2,여인영,(주)씨제이이엔엠,2011-05-26,장편,미국,948,44298724500,5062722,"14,917,759,000","1,575,363",애니메이션,전체관람가,일반영화
아쿠아맨,제임스 완,워너브러더스 코리아(주),2018-12-19,장편,미국,1285,44113456704,5038134,"11,897,439,184","1,294,275",액션,12세관람가,일반영화
공작,윤종빈,(주)씨제이이엔엠,2018-08-08,장편,한국,1317,42759410176,4971261,"10,296,507,676","1,158,151",드라마,12세관람가,일반영화
인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),2015-07-09,장편,미국,777,38015586936,4968687,"12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화
캐리비안의 해적: 세상의 끝에서,고어 버빈스키,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23,장편,미국,0,0,4966571,0,"1,481,077",액션,12세관람가,일반영화
킹스맨: 골든 서클,매튜 본,이십세기폭스코리아(주),2017-09-27,장편,미국,1687,40987484736,4945484,"12,306,638,886","1,419,759",액션,청소년관람불가,일반영화
스파이더맨 3,샘 레이미,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-01,장편,미국,0,0,4935660,0,"1,444,270",액션,12세관람가,일반영화
바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,장편,한국,694,34524377161,4897551,"8,302,901,161","1,122,802",코미디,12세관람가,일반영화
마션,리들리 스콧,월트디즈니컴퍼니코리아 유한책임회사,2015-10-08,장편,미국,1132,39612764295,4875494,"12,914,889,095","1,509,471",액션,12세관람가,일반영화
토르: 라그나로크,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,장편,미국,1640,39248432595,4857152,"12,088,848,195","1,419,464",액션,12세관람가,일반영화
어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,장편,미국,1118,41163951235,4853123,"13,100,185,524","1,446,116",액션,12세관람가,일반영화
"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,장편,한국,206,37354452679,4801355,"9,129,018,879","1,140,795",다큐멘터리,전체관람가,독립/예술영화
조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27,장편,한국,611,35841769500,4786259,"10,712,744,000","1,363,857",코미디,12세관람가,일반영화
봉오동 전투,원신연,(주)쇼박스,2019-08-07,장편,한국,1476,40514276538,4779501,"7,782,799,628","891,383",사극,15세관람가,일반영화
군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,장편,한국,1394,36987755999,4774895,"9,976,707,399","1,239,945",사극,15세관람가,일반영화
남산의 부장들,우민호,(주)쇼박스,2020-01-22,장편,한국,1659,41223596650,4750104,"9,851,448,590","1,113,402",드라마,15세관람가,일반영화
라이온 킹,존 파브로,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,장편,미국,1936,41518977430,4743184,"11,620,751,790","1,218,042",어드벤처,전체관람가,일반영화
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,장편,한국,699,36479147500,4710454,"11,716,858,500","1,451,900",범죄,청소년관람불가,일반영화
주토피아,"바이론 하워드,리치 무어",월트디즈니컴퍼니코리아(주),2016-02-17,장편,미국,661,37077444042,4703245,"12,142,771,642","1,465,960",애니메이션,전체관람가,일반영화
엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04,장편,미국,801,38703942201,4697142,"12,201,872,401","1,401,887",액션,12세관람가,일반영화
신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,장편,한국,671,34881330905,4682492,"11,114,978,905","1,435,648",범죄,청소년관람불가,일반영화
쿵푸 팬더,"마크 오스본,존 스티븐슨",(주)씨제이이엔엠,2008-06-05,장편,미국,351,30000965000,4673009,"10,590,329,000","1,556,669",애니메이션,전체관람가,일반영화
신비한 동물사전,데이빗 예이츠,워너브러더스 코리아(주),2016-11-16,장편,미국,1431,39337263058,4666993,"12,640,487,458","1,425,528",어드벤처,12세관람가,일반영화
도가니,황동혁,(주)씨제이이엔엠,2011-09-22,장편,한국,644,35566854800,4662822,"10,141,606,500","1,267,508",드라마,청소년관람불가,일반영화
캐리비안의 해적 : 망자의 함,고어 버빈스키,브에나비스타인터내셔널코리아,2006-07-06,장편,미국,0,0,4628903,0,"1,525,853",액션,12세관람가,일반영화
박물관이 살아있다!,숀 레비,이십세기폭스코리아(주),2006-12-21,장편,미국,0,0,4612831,0,"1,226,404",코미디,전체관람가,일반영화
내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,장편,한국,563,34222160500,4598583,"11,547,286,500","1,475,165",코미디,15세관람가,일반영화
나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠,2019-09-11,장편,한국,1511,39560195124,4573902,"8,008,441,184","905,239",범죄,15세관람가,일반영화
판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,장편,한국,1166,35965733064,4571142,"7,213,559,964","880,999",드라마,12세관람가,일반영화
터미네이터 : 미래전쟁의 시작,맥지,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21,장편,미국,704,30146162133,4568891,"9,506,441,000","1,367,218",SF,15세관람가,일반영화
맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아(유),2008-09-03,장편,미국,457,29570784560,4554785,"11,275,657,333","1,646,593",멜로/로맨스,12세관람가,일반영화
연가시,박정우,(주)씨제이이엔엠,2012-07-05,장편,한국,759,32154766664,4513026,"7,819,583,000","1,040,068",공포(호러),15세관람가,일반영화
아이언맨 2,존 파브로,(주)씨제이이엔엠,2010-04-29,장편,미국,757,33161943100,4498335,"10,697,867,500","1,370,291",SF,12세관람가,일반영화
