,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
6,아바타,주식회사 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,SF,12세관람가,독립/예술영화,제임스 카메론
8,도둑들,(주)쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,액션,15세관람가,일반영화,최동훈
10,암살,(주)쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,액션,15세관람가,일반영화,최동훈
19,어벤져스: 인피니티 워,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,액션,12세관람가,일반영화,안소니 루소
23,겨울왕국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화,제니퍼 리
35,백두산,(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,어드벤처,12세관람가,일반영화,김병서
47,써니,(주)씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,드라마,15세관람가,일반영화,강형철
49,스파이더맨: 홈 커밍,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,액션,12세관람가,일반영화,존 왓츠
51,베를린,(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,액션,15세관람가,일반영화,류승완
52,마스터,(주)씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,액션,15세관람가,일반영화,조의석
54,어벤져스,월트디즈니컴퍼니코리아 유한책임회사,2012-04-26,장편,미국,967,59557853478,7074867,액션,12세관람가,일반영화,조스 웨던
58,럭키,(주)쇼박스,2016-10-13,장편,한국,1158,56361435256,6965706,코미디,15세관람가,일반영화,이계벽
67,아저씨,CJ ENM,2010-08-04,장편,한국,478,47870792359,6282774,액션,청소년관람불가,일반영화,이정범
76,캡틴 마블,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,장편,미국,2100,51491272223,5801069,액션,12세관람가,일반영화,라이언 플렉
79,숨바꼭질,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,허정
84,감시자들,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,장편,한국,949,39298005179,5496547,범죄,15세관람가,일반영화,김병서
85,2012,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,장편,미국,789,39415166660,5462953,SF,12세관람가,일반영화,롤랜드 에머리히
91,더 킹,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,장편,한국,1310,43486078535,5316325,범죄,15세관람가,일반영화,한재림
96,월드 워 Z,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,장편,미국,964,38555357000,5237525,드라마,15세관람가,일반영화,마크 포스터
97,타워,(주)씨제이이엔엠,2012-12-25,장편,한국,617,37654858000,5181014,드라마,12세관람가,일반영화,김지훈
99,추격자,(주)쇼박스,2008-02-14,장편,한국,435,33943278500,5071619,범죄,청소년관람불가,일반영화,나홍진
117,주토피아,월트디즈니컴퍼니코리아(주),2016-02-17,장편,미국,661,37077444042,4703245,애니메이션,전체관람가,일반영화,리치 무어
119,신세계,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,장편,한국,671,34881330905,4682492,범죄,청소년관람불가,일반영화,박훈정
137,아가씨,(주)씨제이이엔엠,2016-06-01,장편,한국,1171,35114332791,4277071,스릴러,청소년관람불가,일반영화,박찬욱
144,다크 나이트,주식회사 해리슨앤컴퍼니,2008-08-06,장편,미국,462,27059471306,4087355,범죄,15세관람가,일반영화,크리스토퍼 놀란
164,미이라,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,장편,미국,1257,30504689978,3689325,액션,15세관람가,일반영화,알렉스 커츠먼
170,인턴,워너브러더스 코리아(주),2015-09-24,장편,미국,496,28518443148,3610642,코미디,12세관람가,일반영화,낸시 마이어스
179,스파이,(주)씨제이이엔엠,2013-09-05,장편,한국,785,24436429305,3423920,액션,15세관람가,일반영화,이승준
183,돈,(주)쇼박스,2019-03-20,장편,한국,1431,28869614062,3389035,범죄,15세관람가,일반영화,박누리
197,마녀,워너브러더스 코리아(주),2018-06-27,장편,한국,1117,27242029463,3189091,미스터리,15세관람가,일반영화,박훈정
204,하모니,CJ ENM,2010-01-28,장편,한국,405,21992266198,3068544,드라마,12세관람가,일반영화,강대규
212,마더,CJ ENM,2009-05-28,장편,한국,648,20195373838,3013523,드라마,청소년관람불가,일반영화,봉준호
217,형,(주)씨제이이엔엠,2016-11-23,장편,한국,993,23129111893,2982022,코미디,12세관람가,일반영화,권수경
218,친구 2,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,장편,한국,968,21804687513,2971475,액션,청소년관람불가,일반영화,곽경택
221,서치,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-29,장편,미국,816,25283364845,2949944,드라마,12세관람가,일반영화,아니쉬 차간티
224,프리즌,(주)쇼박스,2017-03-23,장편,한국,1047,23790276987,2931897,범죄,청소년관람불가,일반영화,나현
225,솔트,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,장편,미국,556,21719123025,2921331,스릴러,15세관람가,일반영화,필립 노이스
228,원티드,유니버설픽쳐스인터내셔널 코리아(유),2008-06-26,장편,미국,446,19258777000,2867594,스릴러,청소년관람불가,일반영화,티무르 베크맘베토브
230,표적,(주)씨제이이엔엠,2014-04-30,장편,한국,665,22256359300,2841788,액션,15세관람가,일반영화,창
249,나우 유 씨 미 : 마술사기단,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,장편,미국,691,19146691869,2718227,범죄,12세관람가,일반영화,루이스 리테리어
254,타이탄,워너브러더스 코리아(주),2010-04-01,장편,미국,694,22143097429,2685508,액션,12세관람가,일반영화,루이스 리테리어
256,소원,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,장편,한국,641,18251983100,2663170,드라마,12세관람가,일반영화,이준익
272,퍼시픽 림,워너브러더스 코리아(주),2013-07-11,장편,미국,1005,20477392512,2539114,액션,12세관람가,일반영화,길예르모 델 토로
292,테이큰,㈜스튜디오이쩜영,2008-04-09,장편,프랑스,254,15971389000,2379830,범죄,청소년관람불가,일반영화,피에르 모렐
295,블라인드,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,장편,한국,404,18361430500,2362906,스릴러,청소년관람불가,일반영화,안상훈
299,스파이,이십세기폭스코리아(주),2015-05-21,장편,미국,665,18396836358,2315882,액션,15세관람가,일반영화,폴 페이그
302,하녀,(주)싸이더스,2010-05-13,장편,한국,577,17310669976,2304487,스릴러,청소년관람불가,일반영화,임상수
307,나잇&데이,이십세기폭스코리아(주),2010-06-24,장편,미국,501,17054262425,2282191,액션,15세관람가,일반영화,제임스 맨골드
309,컨저링,워너브러더스 코리아(주),2013-09-17,장편,미국,553,16353225777,2262758,공포(호러),15세관람가,일반영화,제임스 완
328,원더 우먼,워너브러더스 코리아(주),2017-05-31,장편,미국,1034,17468588886,2165401,액션,12세관람가,일반영화,팻티 젠킨스
333,마이 웨이,에스케이플래닛(주),2011-12-21,장편,한국,645,15994803000,2142622,전쟁,15세관람가,일반영화,강제규
337,세븐 데이즈,(주)프라임엔터테인먼트,2007-11-14,장편,한국,297,0,2120741,스릴러,청소년관람불가,일반영화,원신연
340,이클립스,(주)넥스트엔터테인먼트월드(NEW),2010-07-07,장편,미국,535,15192541723,2105050,판타지,12세관람가,일반영화,데이빗 슬레이드
349,눈에는 눈 이에는 이,롯데쇼핑㈜롯데엔터테인먼트,2008-07-31,장편,한국,445,13414023500,2058764,범죄,15세관람가,일반영화,곽경택
350,뷰티 인사이드,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,장편,한국,648,16152717131,2053947,판타지,12세관람가,일반영화,백
352,소울,월트디즈니컴퍼니코리아 유한책임회사,2021-01-20,장편,미국,2018,19034164180,2048137,애니메이션,전체관람가,일반영화,피트 닥터
355,노아,(주)씨제이이엔엠,2014-03-20,장편,미국,952,15514083500,2026574,어드벤처,15세관람가,일반영화,대런 아로노프스키
365,루시,유니버설픽쳐스인터내셔널 코리아(유),2014-09-03,장편,미국,641,16439450039,1971837,액션,청소년관람불가,일반영화,뤽 베송
384,아이들...,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,장편,한국,504,13562608500,1864408,범죄,15세관람가,일반영화,이규만
387,코리아,(주)씨제이이엔엠,2012-05-03,장편,한국,537,13334762500,1857392,드라마,12세관람가,일반영화,문현성
412,씽,유니버설픽쳐스인터내셔널 코리아(유),2016-12-21,장편,미국,795,13257953389,1729426,애니메이션,전체관람가,일반영화,가스 제닝스
430,마다가스카의 펭귄,(주)씨제이이엔엠,2014-12-31,장편,미국,615,12498978959,1661230,애니메이션,전체관람가,일반영화,사이몬 J.스미스
441,무방비도시,CJ ENM,2008-01-10,장편,한국,336,10591349944,1613728,범죄,15세관람가,일반영화,이상기
458,원스어폰어타임,(유)씨에이치엔터테인먼트,2008-01-31,장편,한국,315,10180143111,1562486,액션,12세관람가,일반영화,정용기
467,작전,(주)쇼박스,2009-02-12,장편,한국,393,10198304795,1534407,범죄,15세관람가,일반영화,이호재
477,더 게임,기타,2008-01-30,장편,한국,339,9869346557,1496214,스릴러,15세관람가,일반영화,윤인호
481,어스,유니버설픽쳐스인터내셔널 코리아(유),2019-03-27,장편,미국,1132,12586771104,1475087,공포(호러),15세관람가,일반영화,조던 필
482,차이나타운,CGV아트하우스,2015-04-29,장편,한국,551,11989400678,1472006,범죄,청소년관람불가,일반영화,한준희
492,잃어버린 세계를 찾아서,롯데쇼핑㈜롯데엔터테인먼트,2008-12-17,장편,미국,316,9339002945,1438353,SF,전체관람가,일반영화,에릭 브리빅
495,보이스,(주)씨제이이엔엠,2021-09-15,장편,한국,1296,14025546720,1426357,범죄,15세관람가,일반영화,김곡
499,예스맨,워너브러더스 코리아(주),2008-12-17,장편,미국,244,9346501843,1402609,코미디,15세관람가,일반영화,페이튼 리드
507,폼페이: 최후의 날,롯데쇼핑㈜롯데엔터테인먼트,2014-02-20,장편,미국,561,10303127700,1373873,액션,15세관람가,일반영화,폴 W.S. 앤더슨
510,퓨리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-11-20,장편,미국,590,10367640686,1362114,액션,15세관람가,일반영화,데이비드 에이어
512,트와일라잇,판씨네마(주),2008-12-10,장편,미국,343,8796916521,1356180,액션,12세관람가,일반영화,캐서린 하드윅
516,궁합,(주)씨제이이엔엠,2018-02-28,장편,한국,966,10478875438,1340117,코미디,12세관람가,일반영화,홍창표
518,신들의 전쟁,(주)넥스트엔터테인먼트월드(NEW),2011-11-10,장편,미국,525,11726682000,1338411,드라마,청소년관람불가,일반영화,타셈 싱
529,영화는 영화다,㈜스튜디오이쩜영,2008-09-11,장편,한국,326,8943849000,1307688,액션,청소년관람불가,독립/예술영화,장훈
563,생일,(주)넥스트엔터테인먼트월드(NEW),2019-04-03,장편,한국,862,9786575840,1186283,드라마,전체관람가,일반영화,이종언
564,바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,장편,한국,985,9702206675,1183959,코미디,청소년관람불가,일반영화,이병헌
589,하루,CGV아트하우스,2017-06-15,장편,한국,781,9068009842,1129018,스릴러,15세관람가,일반영화,조선호
606,가디언즈,(주)씨제이이엔엠,2012-11-29,장편,미국,470,8212243000,1075584,애니메이션,전체관람가,일반영화,피터 램지
616,업,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-07-29,장편,미국,374,7652994608,1047327,애니메이션,전체관람가,일반영화,밥 피터슨
617,시크릿,CJ ENM,2009-12-03,장편,한국,397,7979591607,1046787,스릴러,청소년관람불가,일반영화,윤재구
618,그놈이다,CGV아트하우스,2015-10-28,장편,한국,681,8098811152,1046313,스릴러,15세관람가,일반영화,윤준형
619,동창생,(주)쇼박스,2013-11-06,장편,한국,660,6983395126,1044522,액션,15세관람가,일반영화,박홍수
620,슈퍼 배드,유니버설픽쳐스인터내셔널 코리아(유),2010-09-16,장편,미국,321,9873975412,1043904,애니메이션,전체관람가,일반영화,크리스 리노드
638,맨 인 더 다크,유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,장편,미국,671,8445645672,999047,스릴러,청소년관람불가,일반영화,페드 알바레즈
650,바보,CJ ENM,2008-02-28,장편,한국,263,6301818833,974554,드라마,12세관람가,일반영화,김정권
658,백야행,(주)시네마서비스,2009-11-19,장편,한국,398,7170684217,956767,멜로/로맨스,청소년관람불가,일반영화,박신우
681,크로싱,(주)벤티지홀딩스,2008-06-26,장편,한국,303,5657365667,907255,드라마,12세관람가,일반영화,김태균
692,그것,워너브러더스 코리아(주),2017-09-06,장편,미국,837,7331422607,888386,공포(호러),15세관람가,일반영화,안드레스 무시에티
698,블랙,이언픽쳐스,2009-08-27,장편,기타,248,6254367609,874913,드라마,전체관람가,독립/예술영화,산제이 렐라 반살리
700,스카이 라인,(주)화앤담이엔티,2010-11-24,장편,미국,431,6414538349,873079,액션,12세관람가,일반영화,그렉 스트로즈
714,헝거게임: 모킹제이,롯데쇼핑㈜롯데엔터테인먼트,2014-11-20,장편,미국,630,6400058044,854377,어드벤처,15세관람가,일반영화,프란시스 로렌스
722,마린보이,CJ ENM,2009-02-05,장편,한국,340,5565284169,837059,액션,15세관람가,일반영화,윤종석
725,손님,(주)씨제이이엔엠,2015-07-09,장편,한국,634,6385295880,827918,판타지,15세관람가,일반영화,김광태
740,스피드 레이서,워너브러더스 코리아(주),2008-05-08,장편,미국,339,5219874500,804631,액션,12세관람가,일반영화,라나 워쇼스키
763,볼트,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-12-31,장편,미국,299,4993959268,757337,애니메이션,전체관람가,일반영화,바이론 하워드
772,더 파이브,(주)씨제이이엔엠,2013-11-14,장편,한국,501,5343797000,731212,스릴러,청소년관람불가,일반영화,정연식
776,푸시,롯데쇼핑㈜롯데엔터테인먼트,2009-03-19,장편,미국,258,4817364578,726998,SF,15세관람가,일반영화,폴 맥기건
781,신데렐라,월트디즈니컴퍼니코리아(주),2015-03-19,장편,미국,531,5499767900,716386,멜로/로맨스,전체관람가,일반영화,케네스 브래너
785,고질라,워너브러더스 코리아(주),2014-05-15,장편,미국,610,5972847963,709734,액션,12세관람가,일반영화,가렛 에드워즈
786,마음이2,롯데쇼핑㈜롯데엔터테인먼트,2010-07-21,장편,한국,261,4705692210,707748,드라마,전체관람가,독립/예술영화,이정철
788,스위니 토드 : 어느 잔혹한 이발사 이야기,워너브러더스 코리아(주),2008-01-17,장편,미국,246,4761820000,704058,뮤지컬,청소년관람불가,일반영화,팀 버튼
790,국가대표 2,플러스엠 엔터테인먼트,2016-08-10,장편,한국,562,5424324942,703024,드라마,12세관람가,일반영화,김종현
794,님스 아일랜드,롯데쇼핑㈜롯데엔터테인먼트,2008-07-17,장편,미국,266,4273735000,694728,코미디,전체관람가,일반영화,마크 레빈
810,하늘에서 음식이 내린다면,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-02-11,장편,미국,281,5500218152,665096,애니메이션,전체관람가,일반영화,크리스 밀러
815,실종,(주)시너지하우스 (시너지),2009-03-19,장편,한국,257,4415413589,654587,범죄,청소년관람불가,일반영화,김성홍
824,사냥,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,장편,한국,696,4912658515,645922,액션,15세관람가,일반영화,이우철
826,리오,이십세기폭스코리아(주),2011-07-27,장편,미국,333,5022007500,645191,애니메이션,전체관람가,일반영화,카를로스 살다나
831,호튼,이십세기폭스코리아(주),2008-04-30,장편,미국,336,3802813334,638598,애니메이션,전체관람가,일반영화,스티브 마티노
840,다찌마와리,(주)쇼박스,2008-08-14,장편,한국,299,4131701167,628508,액션,12세관람가,일반영화,류승완
848,인 타임,이십세기폭스코리아(주),2011-10-27,장편,미국,304,4579554500,616943,SF,12세관람가,일반영화,앤드류 니콜
894,파파,롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,장편,한국,414,3866065500,562156,가족,12세관람가,일반영화,한지승
904,그린치,유니버설픽쳐스인터내셔널 코리아(유),2018-12-19,장편,미국,724,4188466900,552962,애니메이션,전체관람가,일반영화,스콧 모시어
913,트럭,(주)싸이더스,2008-09-25,장편,한국,257,3668218000,540485,범죄,청소년관람불가,일반영화,권형진
924,버닝,CGV아트하우스,2018-05-17,장편,한국,739,4714345098,528153,미스터리,청소년관람불가,일반영화,이창동
929,몬스터,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,장편,한국,527,4136202515,526282,스릴러,청소년관람불가,일반영화,황인호
932,미스트,영화사청어람(주),2008-01-10,장편,미국,197,3404297000,524572,SF,15세관람가,일반영화,프랭크 다라본트
933,언노운,워너브러더스 코리아(주),2011-02-17,장편,미국,186,3953681000,522794,드라마,15세관람가,일반영화,자움 콜렛 세라
942,피라냐,에스케이텔레콤(주),2010-08-26,장편,미국,306,5756700191,515074,액션,청소년관람불가,일반영화,알렉산더 아야
944,여배우들,(주)쇼박스,2009-12-10,장편,한국,271,3784176467,514052,드라마,12세관람가,독립/예술영화,이재용
957,도라에몽 : 스탠 바이 미,(주)넥스트엔터테인먼트월드(NEW),2015-02-12,장편,일본,432,3681140429,503516,애니메이션,전체관람가,일반영화,야기 류이치
958,어웨이크,(주)프라임엔터테인먼트,2008-03-27,장편,미국,216,3266005333,502807,스릴러,15세관람가,일반영화,조비 해롤드
960,그레이트 월,유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,장편,미국,598,4352841358,501286,판타지,12세관람가,일반영화,장예모
961,나인,(주)시너지하우스 (시너지),2009-12-31,장편,미국,332,3790050942,499838,멜로/로맨스,15세관람가,일반영화,롭 마샬
971,레드,(주)화앤담이엔티,2010-11-03,장편,미국,322,3607106025,489855,액션,15세관람가,일반영화,로베르트 슈벤트케
975,침묵,(주)씨제이이엔엠,2017-11-02,장편,한국,634,3873542364,487897,드라마,15세관람가,일반영화,정지우
990,카운트다운,(주)싸이더스,2011-09-29,장편,한국,341,3630557000,471547,드라마,청소년관람불가,일반영화,허종호
994,리얼,(주)씨제이이엔엠,2017-06-28,장편,한국,970,3357312530,470105,액션,청소년관람불가,일반영화,이사랑
996,페이스메이커,(주)시너지하우스 (시너지),2012-01-18,장편,한국,412,3443753000,467697,드라마,12세관람가,일반영화,김달중
997,글래스,월트디즈니컴퍼니코리아 유한책임회사,2019-01-17,장편,미국,837,4277452982,466475,드라마,15세관람가,일반영화,M. 나이트 샤말란
1007,라이프,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,장편,미국,647,3786712210,459421,SF,15세관람가,일반영화,다니엘 에스피노사
1009,세 얼간이,필라멘트픽쳐스,2011-08-18,장편,기타,232,3352570500,458988,코미디,12세관람가,독립/예술영화,라즈쿠마르 히라니
1022,파라노말 액티비티,(주)넥스트엔터테인먼트월드(NEW),2010-01-13,장편,미국,187,3265135449,446510,공포(호러),12세관람가,일반영화,오렌 펠리
1045,오피스,(주)리틀빅픽쳐스,2015-09-03,장편,한국,425,3354086230,428429,스릴러,15세관람가,일반영화,홍원찬
1065,리멤버,(주)에이스메이커무비웍스,2022-10-26,장편,한국,1189,3970165717,412836,드라마,15세관람가,일반영화,이일형
1102,언더 워터,유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,장편,미국,518,3111772391,384789,공포(호러),15세관람가,일반영화,자움 콜렛 세라
1103,크로니클,이십세기폭스코리아(주),2012-03-15,장편,미국,324,2881024000,383862,액션,15세관람가,일반영화,조쉬 트랭크
1109,스토커,이십세기폭스코리아(주),2013-02-28,장편,미국,329,2828301674,378729,드라마,청소년관람불가,일반영화,박찬욱
1117,그레이의 50가지 그림자,유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,장편,미국,512,2918598796,364415,드라마,청소년관람불가,일반영화,샘 테일러-존슨
1118,파라노말 액티비티 2,CJ ENM,2010-10-21,장편,미국,177,2616761211,364251,공포(호러),12세관람가,독립/예술영화,서동욱
1120,에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022-10-12,장편,미국,620,3829624270,360769,액션,15세관람가,독립/예술영화,다니엘 쉐이너트
1122,홈,(주)씨제이이엔엠,2015-05-21,장편,미국,532,2692225691,360556,애니메이션,전체관람가,일반영화,팀 존슨
1131,플립,(주)팝엔터테인먼트,2017-07-12,장편,미국,249,2818791900,354601,드라마,12세관람가,일반영화,롭 라이너
1138,그녀,주식회사 더쿱,2014-05-22,장편,미국,168,2861230000,351091,드라마,청소년관람불가,독립/예술영화,스파이크 존즈
1143,치외법권,판씨네마(주),2015-08-27,장편,한국,446,2664941005,346483,액션,15세관람가,일반영화,신동엽
1162,내 사랑,오드,2017-07-12,장편,기타,233,2442554625,334423,드라마,12세관람가,독립/예술영화,에이슬링 월쉬
1168,에베레스트,유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,장편,미국,331,3055119748,332180,어드벤처,12세관람가,일반영화,발타자르 코루마쿠르
1170,무서운 이야기,롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,옴니버스,한국,274,2452368566,331760,공포(호러),청소년관람불가,일반영화,김곡
1172,킬러스,(주)넥스트엔터테인먼트월드(NEW),2010-09-02,장편,미국,280,2428979292,329086,액션,15세관람가,일반영화,로버트 루게틱
1174,프로포즈,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09-03,장편,미국,174,2481694139,328767,멜로/로맨스,15세관람가,일반영화,앤 플레쳐
1184,아담스 패밀리,유니버설픽쳐스인터내셔널 코리아(유),2019-11-07,장편,미국,802,2565386140,321726,애니메이션,전체관람가,일반영화,그렉 티어넌
1188,어글리 트루스,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09-17,장편,미국,185,2471953101,320997,코미디,청소년관람불가,일반영화,로버트 루게틱
1193,빅풋 주니어,(주)이수C&E,2017-08-09,장편,기타,437,2245548900,318737,애니메이션,전체관람가,일반영화,벤 스타센
1199,P.S. 아이 러브 유,(주)쇼박스,2008-01-03,장편,미국,196,2119345000,315863,멜로/로맨스,15세관람가,일반영화,리차드 라그라브네스
1208,CJ7:장강7호,㈜스튜디오이쩜영,2008-08-21,장편,기타,234,1955693500,312576,SF,전체관람가,일반영화,주성치
1240,더 그레이,(주)팝파트너스,2012-02-16,장편,미국,298,2198959500,292217,액션,15세관람가,일반영화,조 카나한
1255,후드,(주)이수C&E,2018-11-28,장편,미국,628,2203434149,284601,어드벤처,12세관람가,일반영화,오토 바서스트
1257,런,(주)올스타엔터테인먼트,2020-11-20,장편,미국,799,2608259370,284141,미스터리,15세관람가,일반영화,아니쉬 차간티
1259,다이노 타임,(주)씨제이이엔엠,2015-04-30,장편,한국,430,2099683100,283300,애니메이션,전체관람가,일반영화,존 카프카
1271,눈의 여왕,(주)넥스트엔터테인먼트월드(NEW),2013-02-07,장편,기타,316,1823299000,274229,애니메이션,전체관람가,일반영화,막심 스베쉬니코브
1272,마지막 선물,(주)쇼박스,2008-02-05,장편,한국,263,1748517833,272890,드라마,15세관람가,일반영화,김영준
1282,헨젤과 그레텔: 마녀 사냥꾼 3D,(주)씨제이이엔엠,2013-02-14,장편,미국,297,2122205602,269510,액션,청소년관람불가,일반영화,토미 위르콜라
1283,상하이,(주)넥스트엔터테인먼트월드(NEW),2011-01-27,장편,미국,217,2039939000,269157,드라마,15세관람가,일반영화,미카엘 하프스트롬
1294,마야,(주)박수엔터테인먼트,2014-09-04,장편,독일,295,1927575700,262289,애니메이션,전체관람가,독립/예술영화,알렉스 스타더만
1297,원더,CGV아트하우스,2017-12-27,장편,미국,183,1988444689,260506,드라마,전체관람가,독립/예술영화,스티븐 크보스키
1315,노크:낯선 자들의 방문,영화사청어람(주),2008-07-02,장편,미국,180,1571432000,248943,공포(호러),15세관람가,일반영화,브라이언 버티노
1325,인터내셔널,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-26,장편,미국,199,1617695541,241669,액션,청소년관람불가,일반영화,톰 티크베어
1330,서약,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-14,장편,미국,314,1810275500,239483,드라마,15세관람가,일반영화,마이클 수치
1338,레고 무비,워너브러더스 코리아(주),2014-02-06,장편,미국,317,1601300200,236129,애니메이션,전체관람가,일반영화,크리스 밀러
1341,비행기,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-19,장편,미국,408,1671046500,233563,애니메이션,전체관람가,일반영화,클레이 홀
