,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
1349,어느날,오퍼스픽쳐스(유),2017-04-05,장편,한국,532,1827370582,232016,멜로/로맨스,15세관람가,일반영화,이윤기
1365,딥,(주)이수C&E,2017-10-03,장편,기타,441,1746940500,226933,애니메이션,전체관람가,독립/예술영화,줄리오 소토 거피드
1376,일라이,(주)쇼박스,2010-04-15,장편,미국,252,1661141088,222927,액션,15세관람가,일반영화,알렌 휴즈
1377,마마,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,장편,한국,269,1533830500,222731,드라마,12세관람가,일반영화,최익환
1379,시,(주)넥스트엔터테인먼트월드(NEW),2010-05-13,장편,한국,171,1567857053,222017,드라마,15세관람가,독립/예술영화,이창동
1381,노미오와 줄리엣,(주)쇼박스,2011-04-14,장편,영국,291,1937118000,221176,애니메이션,전체관람가,일반영화,캘리 애스버리
1387,언데드,유니버설픽쳐스인터내셔널 코리아(유),2009-02-26,장편,미국,171,1449559974,217924,공포(호러),15세관람가,일반영화,데이빗 S. 고이어
1394,프리즌 이스케이프,(주)이놀미디어,2020-05-06,장편,영국,328,1848297600,217056,어드벤처,12세관람가,독립/예술영화,기타
1396,송 포 유,(주)넥스트엔터테인먼트월드(NEW),2013-04-18,장편,영국,317,1484169000,216852,코미디,12세관람가,일반영화,폴 앤드류 윌리엄스
1397,지구,(주)엠플러스픽쳐스,2008-09-04,장편,영국,181,1351632500,216755,다큐멘터리,전체관람가,독립/예술영화,마크 린필드
1424,코코 샤넬,에스케이텔레콤(주),2009-08-27,장편,프랑스,235,1559386698,210018,드라마,15세관람가,독립/예술영화,앤 폰테인
1427,한나,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-04-14,장편,미국,269,1570759500,208912,액션,15세관람가,일반영화,조 라이트
1428,카오스,(주)싸이더스,2009-03-26,장편,영국,175,1377938904,208094,액션,15세관람가,일반영화,토니 기글리오
1438,원 데이,(주)영화사 그램,2012-12-13,장편,미국,236,1492933500,202805,드라마,15세관람가,독립/예술영화,론 쉐르픽
1442,비스트,(주)넥스트엔터테인먼트월드(NEW),2019-06-26,장편,한국,737,1596148590,202007,범죄,15세관람가,일반영화,이정호
1457,언니,(주)제이앤씨미디어그룹,2019-01-01,장편,한국,530,1746373250,197134,액션,청소년관람불가,일반영화,임경택
1462,미러,이십세기폭스코리아(주),2008-09-18,장편,미국,204,1331646500,193815,공포(호러),청소년관람불가,일반영화,알렉산더 아야
1468,응징자,(주)인벤트스톤,2013-10-30,장편,한국,305,1388412500,192347,액션,청소년관람불가,일반영화,신동엽
1471,보이후드,유니버설픽쳐스인터내셔널 코리아(유),2014-10-23,장편,미국,219,1468359718,190893,드라마,15세관람가,독립/예술영화,리차드 링클레이터
1483,팬,워너브러더스 코리아(주),2015-10-08,장편,미국,428,1422971592,185960,판타지,전체관람가,일반영화,조 라이트
1497,유령작가,(주)싸이더스,2010-06-02,장편,프랑스,189,1336206483,180826,미스터리,15세관람가,독립/예술영화,로만 폴란스키
1502,레전드,(주)이수C&E,2015-12-10,장편,프랑스,449,1439444930,180082,액션,청소년관람불가,일반영화,브라이언 헬겔랜드
1510,유전,(주)팝엔터테인먼트,2018-06-07,장편,미국,422,1560899725,177145,공포(호러),15세관람가,일반영화,아리 애스터
1513,더 로드,에스케이텔레콤(주),2010-01-07,장편,미국,172,1303099693,176152,SF,15세관람가,일반영화,존 힐코트
1518,부활,유니버설픽쳐스인터내셔널 코리아(유),2016-03-17,장편,미국,120,1240599600,175146,드라마,12세관람가,일반영화,케빈 레이놀즈
1520,업사이드 다운,롯데쇼핑㈜롯데엔터테인먼트,2012-11-08,장편,기타,309,1225993645,174879,SF,12세관람가,일반영화,후안 디에고 솔라나스
1528,조이,이십세기폭스코리아(주),2016-03-10,장편,미국,405,1372216200,171577,코미디,12세관람가,일반영화,데이빗 O. 러셀
1542,노리개,(주)인벤트스톤,2013-04-18,장편,한국,278,1229574500,169054,드라마,청소년관람불가,일반영화,최승호
1543,나는 아빠다,롯데쇼핑㈜롯데엔터테인먼트,2011-04-14,장편,한국,300,1246420500,168049,액션,청소년관람불가,일반영화,이세영
1545,비밀애,(주)시너지하우스 (시너지),2010-03-25,장편,한국,275,1227023002,167132,멜로/로맨스,청소년관람불가,일반영화,권지연
1555,무법자,(주)넥스트엔터테인먼트월드(NEW),2010-03-18,장편,한국,192,1241201107,163334,드라마,청소년관람불가,일반영화,김철한
1556,다크아워,이십세기폭스코리아(주),2012-01-05,장편,미국,324,1319649000,162604,SF,12세관람가,일반영화,크리스 고락
1559,빅,(주)이수C&E,2016-07-27,장편,미국,332,1174196720,160860,애니메이션,전체관람가,독립/예술영화,트레버 월
1560,부산,(주)싸이더스,2009-10-15,장편,한국,204,1185994280,160741,액션,청소년관람불가,일반영화,박지원
1563,니코,롯데쇼핑㈜롯데엔터테인먼트,2008-12-24,장편,기타,168,971874013,158693,애니메이션,전체관람가,일반영화,마이클 헤트너
1565,더 자이언트,(주)마인스 엔터테인먼트,2013-02-21,장편,미국,227,996566000,157972,애니메이션,전체관람가,일반영화,프라파스 콜사라논
1567,데스 레이스,유니버설픽쳐스인터내셔널 코리아(유),2008-10-16,장편,미국,151,1044019000,156983,SF,청소년관람불가,일반영화,폴 W.S. 앤더슨
1571,아메리칸 허슬,(주)누리픽쳐스,2014-02-20,장편,미국,245,1195060400,155374,범죄,청소년관람불가,독립/예술영화,데이빗 O. 러셀
1586,히든 카드,이십세기폭스코리아(주),2013-09-26,장편,미국,362,1080423651,151476,범죄,청소년관람불가,일반영화,브래드 퍼맨
1589,스테이트 오브 플레이,기타,2009-04-30,장편,미국,197,998567826,150447,드라마,12세관람가,일반영화,케빈 맥도널드
1599,기프트,(주)성원아이컴,2009-03-26,장편,미국,188,996472520,148138,액션,15세관람가,일반영화,그렉 마크스
1604,크레이지,(주)넥스트엔터테인먼트월드(NEW),2010-04-08,장편,미국,196,1123006998,146377,공포(호러),청소년관람불가,일반영화,브렉 에이즈너
1605,웨딩드레스,(주)싸이더스,2010-01-14,장편,한국,183,1014636235,146148,드라마,전체관람가,일반영화,권형진
1611,헬프,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-03,장편,미국,163,1045217500,143738,드라마,전체관람가,일반영화,테이트 테일러
1620,키친,실버스푼,2009-02-05,장편,한국,179,939320372,142336,멜로/로맨스,15세관람가,일반영화,홍지영
1622,굿바이,(주)드림팩트엔터테인먼트,2008-10-30,장편,일본,167,885687097,141719,드라마,12세관람가,독립/예술영화,타키타 요지로
1627,화장,(주)리틀빅픽쳐스,2015-04-09,장편,한국,327,1059405100,140616,드라마,청소년관람불가,독립/예술영화,임권택
1628,크롤,롯데컬처웍스(주)롯데엔터테인먼트,2019-11-27,장편,미국,612,1128159080,140576,액션,15세관람가,일반영화,알렉산더 아야
1632,플로렌스,(주)이수C&E,2016-08-24,장편,영국,382,1079970100,139717,드라마,15세관람가,독립/예술영화,스티븐 프리어스
1635,나이트메어,워너브러더스 코리아(주),2010-05-20,장편,미국,109,1073229640,139140,공포(호러),청소년관람불가,일반영화,사무엘 베이어
1644,50/50,롯데쇼핑㈜롯데엔터테인먼트,2011-11-24,장편,미국,159,1029728500,137205,코미디,15세관람가,독립/예술영화,조나단 레빈
1647,파이터,(주)시너지하우스 (시너지),2011-03-10,장편,미국,263,1033270000,136946,드라마,15세관람가,일반영화,데이빗 O. 러셀
1660,유희왕,에이원엔터테인먼트,2010-01-28,장편,일본,64,95399816,134754,애니메이션,전체관람가,일반영화,츠지 하츠키
1667,죽이고 싶은,롯데쇼핑㈜롯데엔터테인먼트,2010-08-26,장편,한국,145,990122522,133079,스릴러,청소년관람불가,독립/예술영화,김상화
1672,오늘,롯데쇼핑㈜롯데엔터테인먼트,2011-10-27,장편,한국,207,712814000,131896,드라마,15세관람가,일반영화,이정향
1677,두 여자,CJ ENM,2010-11-18,장편,한국,211,981545863,131415,멜로/로맨스,청소년관람불가,일반영화,정윤수
1682,스트리트댄스,(주)시너지하우스 (시너지),2010-06-16,장편,영국,211,1449365627,130153,드라마,12세관람가,일반영화,다니아 파스퀴니
1688,아더와 미니모이-제1탄비밀원정대의출정,롯데쇼핑㈜롯데엔터테인먼트,2009-07-09,장편,프랑스,219,823623531,128531,어드벤처,전체관람가,일반영화,뤽 베송
1690,슈퍼히어로,(주)싸이더스,2008-08-21,장편,미국,181,815185333,128054,SF,12세관람가,일반영화,크레이그 마진
1712,애프터 라이프,(주)시너지하우스 (시너지),2010-09-02,장편,미국,185,900663278,122963,드라마,15세관람가,일반영화,아그네츠카 보토위츠 보슬루
1735,아티스트,(주)영화사 진진,2012-02-16,장편,미국,93,910115100,118836,멜로/로맨스,12세관람가,독립/예술영화,미셀 하자나비시우스
1739,데블,유니버설픽쳐스인터내셔널 코리아(유),2010-11-04,장편,미국,190,868744643,118286,공포(호러),15세관람가,일반영화,존 에릭 도들
1748,내가 숨쉬는 공기,롯데쇼핑㈜롯데엔터테인먼트,2008-04-09,장편,미국,181,772348500,117058,범죄,청소년관람불가,일반영화,지호 리
1750,여교사,필라멘트픽쳐스,2017-01-04,장편,한국,393,947192460,116851,드라마,청소년관람불가,독립/예술영화,김태용
1759,안나,판씨네마(주),2019-08-28,장편,프랑스,431,946058240,114796,액션,15세관람가,일반영화,뤽 베송
1763,로스트 시티,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-20,장편,미국,835,1023084850,113186,액션,12세관람가,일반영화,기타
1764,스트레인지 월드,월트디즈니컴퍼니코리아 유한책임회사,2022-11-23,장편,미국,699,968821831,112910,애니메이션,전체관람가,일반영화,돈 홀
1768,아담스 패밀리 2,유니버설픽쳐스인터내셔널 코리아(유),2021-11-10,장편,미국,750,979210720,111934,애니메이션,전체관람가,일반영화,그렉 티어넌
1774,엽문,(주)제이앤씨미디어그룹,2009-04-16,장편,기타,168,733132023,110805,액션,12세관람가,독립/예술영화,엽위신
1777,바디,㈜케이디미디어,2008-05-29,장편,기타,160,716431000,110686,공포(호러),15세관람가,일반영화,파윈 푸리킷판야
1787,미운 오리 새끼의 모험,(주)드림팩트엔터테인먼트,2008-04-03,장편,프랑스,70,618379000,109094,애니메이션,전체관람가,일반영화,마이클 헤그너
1788,히트,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,장편,한국,171,771023500,109019,드라마,15세관람가,일반영화,이성한
1791,할로윈,유니버설픽쳐스인터내셔널 코리아(유),2018-10-31,장편,미국,536,891158713,108780,공포(호러),청소년관람불가,일반영화,데이빗 고든 그린
1792,21,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-06-19,장편,미국,64,730776100,108648,범죄,15세관람가,일반영화,로버트 루케틱
1803,프리덤,주식회사 마운틴픽쳐스,2015-11-19,장편,미국,117,737817100,106241,드라마,12세관람가,독립/예술영화,피터 쿠센스
1811,신부들의 전쟁,이십세기폭스코리아(주),2009-04-02,장편,미국,207,686671367,105202,코미디,12세관람가,일반영화,게리 위닉
1812,스타워즈 : 클론 전쟁,워너브러더스 코리아(주),2008-09-04,장편,미국,211,646062000,105151,애니메이션,전체관람가,일반영화,데이브 필로니
1818,블러드,(주)싸이더스,2009-06-11,장편,기타,229,701370482,103918,액션,청소년관람불가,일반영화,크리스 나흔
1819,킹 오브 프리즘 (바이 프리티 리듬),(주)박수엔터테인먼트,2016-08-11,장편,일본,53,859771500,103852,애니메이션,12세관람가,일반영화,히시다 마사카즈
1827,공포의 묘지,롯데컬처웍스(주)롯데엔터테인먼트,2019-04-10,장편,미국,564,894409836,102826,공포(호러),15세관람가,일반영화,데니스 위드미어
1835,몬스터 헌터,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-02-10,장편,미국,668,967419750,101793,액션,12세관람가,일반영화,폴 W.S. 앤더슨
1842,바람,(주)싸이더스,2009-11-26,장편,한국,120,726321610,101197,드라마,청소년관람불가,일반영화,이성한
1843,게이트,(주)제이앤씨미디어그룹,2018-02-28,장편,한국,208,820756100,101173,범죄,15세관람가,일반영화,신재호
1851,타운,워너브러더스 코리아(주),2011-01-27,장편,미국,158,763767000,98866,드라마,청소년관람불가,일반영화,벤 애플렉
1853,라이언,(주)이수C&E,2017-02-01,장편,기타,205,736334100,98660,드라마,12세관람가,독립/예술영화,가스 데이비스
1863,9:나인,에스케이텔레콤(주),2009-09-09,장편,미국,186,704611404,97787,애니메이션,12세관람가,일반영화,쉐인 액커
1885,사일런스,(주)키다리이엔티,2017-02-28,장편,미국,342,700818300,94750,드라마,15세관람가,독립/예술영화,마틴 스코세이지
1903,루이스,(주)스마일이엔티,2018-09-20,장편,독일,325,729147750,93000,애니메이션,전체관람가,독립/예술영화,울프강 라우엔슈타인
1909,크리미널,(주)영화사 빅,2016-06-22,장편,영국,351,738985181,92358,액션,15세관람가,독립/예술영화,아리엘 브로멘
1914,마마,유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,장편,미국,164,662161500,91143,공포(호러),15세관람가,일반영화,안드레스 무시에티
1917,둠스데이:지구 최후의 날,영화사청어람(주),2008-06-19,장편,미국,203,598350500,90666,SF,청소년관람불가,일반영화,닐 마샬
1921,더 보이,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-05-23,장편,미국,509,776591970,89429,공포(호러),15세관람가,일반영화,데이빗 야로베스키
1923,슈퍼미니,판씨네마(주),2014-04-10,장편,프랑스,303,640234500,89328,애니메이션,전체관람가,일반영화,토마스 자보
1927,더 콜,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,장편,미국,241,626952634,88953,스릴러,청소년관람불가,일반영화,브래드 앤더슨
1930,살인자,(주)영화사 빅,2014-01-15,장편,한국,207,656849000,88199,스릴러,청소년관람불가,독립/예술영화,이기욱
1947,숀더쉽,(주)박수엔터테인먼트,2015-08-13,장편,영국,263,592435000,85568,애니메이션,전체관람가,독립/예술영화,리처드 스타잭
1948,디 아이,(주)쇼박스,2008-06-05,장편,미국,108,542600500,85559,공포(호러),15세관람가,일반영화,데이빗 모로
1951,유스,그린나래미디어(주),2016-01-07,장편,기타,65,661767600,85166,드라마,15세관람가,독립/예술영화,파올로 소렌티노
1957,뉴욕 아이 러브 유,㈜케이디미디어,2009-10-22,장편,미국,95,647982325,83600,코미디,15세관람가,일반영화,강문
1959,스위치,씨너스엔터테인먼트(주),2010-12-01,장편,미국,163,564596900,83346,멜로/로맨스,15세관람가,일반영화,윌 스펙
1960,와일드,이십세기폭스코리아(주),2015-01-22,장편,미국,58,665271800,83334,드라마,청소년관람불가,독립/예술영화,장 마크 발레
1967,라르고 윈치,(주)프라임엔터테인먼트,2009-08-20,장편,프랑스,163,628575878,82610,어드벤처,청소년관람불가,일반영화,제롬 샬레
1979,원 챈스,(주)라이크콘텐츠,2014-03-13,장편,영국,329,593174100,80977,코미디,12세관람가,독립/예술영화,데이빗 프랭클
1990,소리꾼,(주)리틀빅픽쳐스,2020-07-01,장편,한국,573,642120680,79215,사극,12세관람가,일반영화,조정래
2001,세인트 빈센트,(주)영화사 빅,2015-03-05,장편,미국,308,604885528,78336,코미디,12세관람가,독립/예술영화,데오도르 멜피
2002,룸,(주)팝엔터테인먼트,2016-03-03,장편,기타,333,621606700,78253,드라마,15세관람가,독립/예술영화,레니 에이브러햄슨
2004,엑스 마키나,유니버설픽쳐스인터내셔널 코리아(유),2015-01-21,장편,미국,207,629716963,78049,SF,청소년관람불가,일반영화,알렉스 가랜드
2008,알이씨(Rec),유니버설픽쳐스인터내셔널 코리아(유),2008-07-10,장편,기타,97,524571500,77533,공포(호러),청소년관람불가,일반영화,파코 플라자
2010,아더 우먼,이십세기폭스코리아(주),2014-11-13,장편,미국,331,580257218,77341,코미디,15세관람가,일반영화,닉 카사베츠
2013,참을 수 없는,(주)시너지하우스 (시너지),2010-10-21,장편,한국,220,575770952,76965,멜로/로맨스,청소년관람불가,독립/예술영화,권칠인
2017,엽기적인 그녀 2,(주)리틀빅픽쳐스,2016-05-12,장편,한국,387,588233900,76321,멜로/로맨스,15세관람가,일반영화,조근식
2021,오두막,판씨네마(주),2017-04-20,장편,미국,396,581005200,75657,드라마,12세관람가,독립/예술영화,스튜어트 하젤딘
2029,외톨이,(주)성원아이컴,2008-09-18,장편,한국,199,474493500,74282,공포(호러),15세관람가,일반영화,박재식
2034,베니싱,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,장편,미국,181,542044000,73582,미스터리,12세관람가,일반영화,브래드 앤더슨
2035,위자,유니버설픽쳐스인터내셔널 코리아(유),2015-04-16,장편,미국,337,570154035,73549,미스터리,15세관람가,일반영화,스틸즈 화이트
2038,카운트다운,(주)제이앤씨미디어그룹,2019-12-12,장편,미국,238,611133000,73412,공포(호러),15세관람가,일반영화,기타
2040,더 클럽,(주)시너지하우스 (시너지),2008-10-02,장편,미국,137,490754500,73126,멜로/로맨스,청소년관람불가,일반영화,마르셀 랭겐거
2046,로망,(주)메리크리스마스,2019-04-03,장편,한국,405,527390400,72761,멜로/로맨스,전체관람가,독립/예술영화,이창근
2048,집결호,(주)시네마서비스,2008-03-06,장편,중국,160,466837500,72582,액션,12세관람가,일반영화,펑샤오강
2053,화이트 고릴라,(주)마인스 엔터테인먼트,2013-10-31,장편,기타,182,464078500,71796,애니메이션,전체관람가,일반영화,안드레스 G. 슈에
2054,청원,이언픽쳐스,2011-11-02,장편,기타,181,511705000,71506,드라마,12세관람가,독립/예술영화,산제이 렐라 반살리
2057,더 서클,(주)키다리이엔티,2017-06-22,장편,미국,169,578129700,71362,드라마,12세관람가,독립/예술영화,제임스 폰솔트
2058,정글히어로,(주)씨제이이엔엠,2014-10-02,장편,한국,287,506194300,71330,애니메이션,전체관람가,일반영화,마우리시오 드 라 오르타
2059,트랩,아이비젼엔터테인먼트(주),2009-01-29,장편,미국,162,490065432,71294,범죄,청소년관람불가,일반영화,유위강
2065,썸머 솔스티스,㈜케이디미디어,2008-08-28,장편,미국,131,460975000,70109,공포(호러),15세관람가,일반영화,다니엘 미릭
2073,어카운턴트,워너브러더스 코리아(주),2016-10-13,장편,미국,375,548544928,69529,액션,15세관람가,일반영화,게빈 오코너
2074,브라더스,(주)성원아이컴,2010-05-05,장편,미국,140,513691735,69470,드라마,15세관람가,독립/예술영화,짐 쉐리단
2075,번개맨,(주)키다리이엔티,2016-02-11,장편,한국,393,516736500,69303,판타지,전체관람가,일반영화,조근현
2078,주노,(주)미로비젼,2008-02-21,장편,미국,168,436273333,69011,드라마,12세관람가,독립/예술영화,제이슨 라이트맨
2079,이퀄스,(주)키다리이엔티,2016-08-31,장편,미국,357,519932300,68897,드라마,15세관람가,일반영화,드레이크 도리머스
2080,스티브 잡스,유니버설픽쳐스인터내셔널 코리아(유),2016-01-21,장편,미국,384,535351276,68815,드라마,12세관람가,일반영화,대니 보일
2083,동키호테,(주)팝엔터테인먼트,2008-09-25,장편,기타,72,400440500,68569,애니메이션,전체관람가,일반영화,호셉 포조
2085,닥터,(주)마인스 엔터테인먼트,2013-06-20,장편,한국,163,495574500,68312,스릴러,청소년관람불가,일반영화,김성홍
2086,리미트,TCO(주)더콘텐츠온,2022-08-31,장편,한국,687,636265902,67971,범죄,15세관람가,일반영화,이승준
2088,당신이 잠든 사이에,(주)엠플러스픽쳐스,2008-08-14,장편,한국,164,448114500,67626,코미디,15세관람가,일반영화,김정민
2089,올 더 머니,판씨네마(주),2018-02-01,장편,미국,260,547011500,67602,범죄,15세관람가,독립/예술영화,리들리 스콧
2090,여곡성,(주)스마일이엔티,2018-11-08,장편,한국,212,594373400,67368,공포(호러),15세관람가,일반영화,유영선
2094,주문진,롯데쇼핑㈜롯데엔터테인먼트,2010-01-21,장편,한국,93,378219576,67167,드라마,12세관람가,일반영화,하명중
2097,올레,(주)대명문화공장,2016-08-25,장편,한국,338,522938900,66883,드라마,15세관람가,일반영화,채두병
2098,더 바디,(주)싸이더스,2014-05-22,장편,기타,161,501242100,66733,스릴러,15세관람가,독립/예술영화,오리올 파울로
2099,라스트 스탠드,(주)씨제이이엔엠,2013-02-21,장편,미국,300,492135000,66698,액션,청소년관람불가,일반영화,김지운
2102,선생님의 일기,(주)드림팩트엔터테인먼트,2016-11-02,장편,기타,163,461082900,66319,멜로/로맨스,12세관람가,독립/예술영화,니티왓 다라톤
2103,골든 슬럼버,CJ ENM,2010-08-26,장편,일본,139,483993392,66224,스릴러,12세관람가,일반영화,나카무라 요시히로
2104,천녀유혼,씨너스엔터테인먼트(주),2011-05-12,장편,중국,240,497089500,66219,SF,12세관람가,일반영화,엽위신
2105,레지던트,(주)쇼박스,2011-06-02,장편,영국,200,518700000,66216,스릴러,청소년관람불가,일반영화,안티 조키넨
2106,다크 플레이스,(주)스톰픽쳐스코리아,2015-07-15,장편,미국,268,530282654,66075,드라마,청소년관람불가,일반영화,질스 파겟-브레너
2107,패트리어트 데이,(주)이수C&E,2017-04-06,장편,미국,375,521471618,66074,드라마,15세관람가,일반영화,피터 버그
2109,더 플랫폼,(주)홈초이스,2020-05-13,장편,기타,228,603715000,65938,SF,청소년관람불가,독립/예술영화,기타
2112,여대생 기숙사,CJ ENM,2010-06-23,장편,미국,143,499069256,65570,공포(호러),청소년관람불가,일반영화,스튜어트 헨들러
2113,블리츠,팝엔터테인먼트,2011-12-07,장편,영국,123,497782500,65493,스릴러,청소년관람불가,일반영화,엘리어트 레스터
2114,더 크리스마스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-12-21,장편,미국,158,486356000,65460,애니메이션,전체관람가,일반영화,티모시 렉카트
2115,돌이킬 수 없는,㈜케이디미디어,2010-11-04,장편,한국,205,472974485,65414,미스터리,15세관람가,일반영화,박수영
2116,"사랑한다, 사랑하지 않는다",(주)넥스트엔터테인먼트월드(NEW),2011-03-03,장편,한국,80,498314500,65282,멜로/로맨스,15세관람가,일반영화,이윤기
2117,패터슨,그린나래미디어(주),2017-12-21,장편,프랑스,62,537321900,65147,드라마,12세관람가,독립/예술영화,짐 자무쉬
2118,데몰리션,(주)리틀빅픽쳐스,2016-07-13,장편,미국,198,533506821,65145,드라마,청소년관람불가,독립/예술영화,장 마크 발레
2120,베리드,(주)화앤담이엔티,2010-12-08,장편,기타,117,470090587,64449,드라마,15세관람가,독립/예술영화,로드리고 코르테스
2121,레오나르도 다 빈치,(주)스마일이엔티,2018-04-26,장편,기타,150,509942200,64405,애니메이션,전체관람가,독립/예술영화,세르지오 맨피오
2122,사랑보다 황금,워너브러더스 코리아(주),2008-02-28,장편,미국,129,403351000,64310,멜로/로맨스,12세관람가,일반영화,앤디 테넌트
2127,몬스터 하우스,(주)박수엔터테인먼트,2019-10-03,장편,기타,202,506405000,63784,애니메이션,전체관람가,일반영화,피터 레페니오티스
2129,아메리칸,(주)화천공사,2010-12-29,장편,미국,117,492424010,63329,범죄,청소년관람불가,독립/예술영화,안톤 코르빈
2132,대무가,판씨네마(주),2022-10-12,장편,한국,587,567401256,62999,드라마,15세관람가,독립/예술영화,이한종
2133,경주,(주)인벤트스톤,2014-06-12,장편,한국,318,468260500,62754,드라마,15세관람가,독립/예술영화,장률
2137,언피니시드,유니버설픽쳐스인터내셔널 코리아(유),2011-10-06,장편,미국,159,455595500,62383,드라마,15세관람가,일반영화,존 매든
2142,위아영,(주)브리즈픽처스,2015-05-14,장편,미국,235,495343360,62016,코미디,15세관람가,독립/예술영화,노아 바움백
2145,뉴 뮤턴트,월트디즈니컴퍼니코리아 유한책임회사,2020-09-10,장편,미국,817,546115880,61897,액션,15세관람가,일반영화,조쉬 분
2147,닥터 슬립,워너브러더스 코리아(주),2019-11-07,장편,미국,484,537986260,61784,스릴러,15세관람가,일반영화,마이크 플래너건
2151,에반게리온: Q,㈜T-JOY,2013-04-25,장편,일본,59,435800211,61423,애니메이션,15세관람가,일반영화,안노 히데아키
2152,헤드,(주)에스비에스콘텐츠허브,2011-05-26,장편,한국,196,462025000,61414,액션,청소년관람불가,일반영화,조운
2160,극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020-11-12,장편,일본,131,521563250,60762,애니메이션,전체관람가,독립/예술영화,이시다테 타이치
2162,휴고,(주)씨제이이엔엠,2012-02-29,장편,미국,85,637621000,60520,가족,전체관람가,일반영화,마틴 스코세이지
2164,바운티 헌터,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-04-15,장편,미국,123,459904690,60376,멜로/로맨스,15세관람가,일반영화,앤디 테넌트
2166,두 남자,(주)키다리이엔티,2016-11-30,장편,한국,397,459566121,60365,범죄,청소년관람불가,일반영화,이성태
2167,사탄의 인형,(주)이수C&E,2019-06-20,장편,미국,465,558760590,60340,공포(호러),청소년관람불가,일반영화,라스 클리브버그
