순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
0,스파이더맨: 홈커밍,https://movie.naver.com/movie/bi/mi/basic.nhn?code=135874,https://ssl.pstatic.net/imgmovie/mdi/mit110/1358/135874_P11_162921.jpg,2017,['존 왓츠'],"['톰 홀랜드', '마이클 키튼']",8.35
1,월드워Z,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51777,https://ssl.pstatic.net/imgmovie/mdi/mit110/0517/51777_P39_121351.jpg,2013,['마크 포스터'],"['브래드 피트', '미레유 에노스']",8.24
2,마더,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47701,https://ssl.pstatic.net/imgmovie/mdi/mit110/0477/47701_P01_100922.jpg,2009,['봉준호'],"['김혜자', '원빈']",8.19
3,친구2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103271,https://ssl.pstatic.net/imgmovie/mdi/mit110/1032/103271_P18_144210.jpg,2013,['곽경택'],"['유오성', '주진모', '김우빈']",6.20
4,마이웨이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71628,https://ssl.pstatic.net/imgmovie/mdi/mit110/0716/71628_P02_163941.jpg,2011,['강제규'],"['장동건', '오다기리 죠', '판빙빙']",7.20
5,무방비 도시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68046,https://ssl.pstatic.net/imgmovie/mdi/mit110/0680/F8046-00.jpg,2007,['이상기'],"['김명민', '손예진', '김해숙']",7.56
6,원스 어폰 어 타임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69207,https://ssl.pstatic.net/imgmovie/mdi/mit110/0692/F9207-01.jpg,2008,['정용기'],"['박용우', '이보영']",7.99
7,작전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50176,https://ssl.pstatic.net/imgmovie/mdi/mit110/0501/E0176-01.jpg,2009,['이호재'],"['박용하', '김민정', '박희순', '김무열', '조덕현', '김준성']",8.63
8,예스 맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45944,https://ssl.pstatic.net/imgmovie/mdi/mit110/0459/D5944-00.jpg,2008,['페이튼 리드'],"['짐 캐리', '주이 디샤넬']",8.85
9,신들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74627,https://ssl.pstatic.net/imgmovie/mdi/mit110/0746/74627_P21_113104.jpg,2011,['타셈 싱'],"['헨리 카빌', '미키 루크', '프리다 핀토']",6.48
10,영화는 영화다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48074,https://ssl.pstatic.net/imgmovie/mdi/mit110/0480/48074_P01_101048.jpg,2008,['장훈'],"['소지섭', '강지환']",8.85
11,바람 바람 바람,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142739,https://ssl.pstatic.net/imgmovie/mdi/mit110/1427/142739_P33_104430.jpg,2017,['이병헌'],"['이성민', '신하균', '송지효', '이엘']",6.20
12,업,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52120,https://ssl.pstatic.net/imgmovie/mdi/mit110/0521/52120_P00_121612.jpg,2009,"['피트 닥터', '밥 피터슨']","['에드워드 애스너', '조던 나가이', '크리스토퍼 플러머', '밥 피터슨']",9.33
13,시크릿,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51317,https://ssl.pstatic.net/imgmovie/mdi/mit110/0513/51317_P35_121321.jpg,2009,['윤재구'],"['차승원', '송윤아', '류승룡']",7.57
14,슈퍼배드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73339,https://ssl.pstatic.net/imgmovie/mdi/mit110/0733/73339_P00_111216.jpg,2010,"['피에르 꼬팽', '크리스 리노드']","['스티브 카렐', '태연', '서현', '미란다 코스그로브', '다나 가이어']",9.00
15,스카이라인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76581,https://ssl.pstatic.net/imgmovie/mdi/mit110/0765/76581_P11_112352.jpg,2010,"['콜린 스트로즈', '그렉 스트로즈']","['에릭 벌포', '스카티 톰슨']",6.27
16,헝거게임:모킹제이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100644,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100644_P39_113539.jpg,2014,['프란시스 로렌스'],"['제니퍼 로렌스', '리암 헴스워스', '줄리안 무어', '조쉬 허처슨', '필립 세이모어 호프만', '우디 해럴슨', '엘리자베스 뱅크스', '제프리 라이트', '스탠리 투치', '도날드 서덜랜드', '윌로우 쉴즈', '샘 클라플린', '지나 말론', '마허샬라 알리']",7.55
17,마린 보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49216,https://ssl.pstatic.net/imgmovie/mdi/mit110/0492/D9216-01.jpg,2008,['윤종석'],"['김강우', '조재현', '박시연']",6.65
18,마음이 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73096,https://ssl.pstatic.net/imgmovie/mdi/mit110/0730/73096_P47_125417.jpg,2010,['이정철'],"['달이', '성동일', '김정태', '송중기', '장한']",8.58
19,국가대표2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141824,https://ssl.pstatic.net/imgmovie/mdi/mit110/1418/141824_P99_095923.jpg,2016,['김종현'],"['수애', '오달수', '오연서']",8.64
20,다찌마와 리 - 악인이여 지옥행 급행열차를 타라!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45914,https://ssl.pstatic.net/imgmovie/mdi/mit110/0459/D5914-01.jpg,2008,['류승완'],"['임원희', '공효진', '박시연', '황보라', '김병옥', '김수현', '안길강', '류승범']",6.82
21,도라에몽:스탠바이미,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127901,https://ssl.pstatic.net/imgmovie/mdi/mit110/1279/127901_P53_134431.jpg,2014,"['야기 류이치', '야마자키 다카시']","['미즈타 와사비', '오오하라 메구미', '카카즈 유미', '키무라 스바루', '세키 토모카즈', '츠마부키 사토시']",8.77
22,레드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74308,https://ssl.pstatic.net/imgmovie/mdi/mit110/0743/74308_P08_105310.jpg,2010,['로베르트 슈벤트케'],"['브루스 윌리스', '모건 프리먼', '존 말코비치', '메리 루이스 파커', '헬렌 미렌']",8.07
23,페이스 메이커,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83098,https://ssl.pstatic.net/imgmovie/mdi/mit110/0830/83098_P161_112730.jpg,2012,['김달중'],"['김명민', '안성기', '고아라', '최태준']",8.84
24,그녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101950,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101950_P40_140928.jpg,2013,['스파이크 존즈'],"['호아킨 피닉스', '에이미 아담스', '루니 마라', '스칼릿 조핸슨']",8.52
25,CJ7 - 장강7호,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64192,https://ssl.pstatic.net/imgmovie/mdi/mit110/0641/F4192-00.jpg,2008,['주성치'],"['주성치', '서교']",7.46
26,마지막선물...귀휴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65751,https://ssl.pstatic.net/imgmovie/mdi/mit110/0657/F5751-00.jpg,2007,['김영준'],"['신현준', '허준호', '조수민']",8.33
27,노크: 낯선 자들의 방문,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49004,https://ssl.pstatic.net/imgmovie/mdi/mit110/0490/D9004-00.jpg,2008,['브라이언 버티노'],"['스코트 스피드먼', '리브 타일러', '젬마 워드', '로라 마골리스']",5.00
28,시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70562,https://ssl.pstatic.net/imgmovie/mdi/mit110/0705/70562_P50_085129.jpg,2010,['이창동'],['윤정희'],8.96
29,지구,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44997,https://ssl.pstatic.net/imgmovie/mdi/mit110/0449/D4997-00.jpg,2007,"['알래스테어 포더길', '마크 린필드']",['패트릭 스튜어트'],8.60
30,다크 아워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=82253,https://ssl.pstatic.net/imgmovie/mdi/mit110/0822/82253_P06_135752.jpg,2011,['크리스 고락'],"['에밀 허쉬', '올리비아 썰비', '조엘 킨나만']",5.82
31,빅,https://movie.naver.com/movie/bi/mi/basic.nhn?code=133479,https://ssl.pstatic.net/imgmovie/mdi/mit110/1334/133479_P27_153815.jpg,2016,['트레버 월'],"['롭 슈나이더', '헤더 그레이엄', '켄 정', '콤 미니', '로레타 드바인', '가브리엘 이글레시아스', '마이클 맥엘하튼', '빌 나이', '재커리 고든']",7.71
32,히든카드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98404,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98404_P25_152454.jpg,2013,['브래드 퍼맨'],"['벤 애플렉', '젬마 아터튼', '저스틴 팀버레이크']",6.09
33,웨딩 드레스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53158,https://ssl.pstatic.net/imgmovie/mdi/mit110/0531/53158_P23_090322.jpg,2009,['권형진'],"['송윤아', '김향기']",9.10
34,굿바이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50724,https://ssl.pstatic.net/imgmovie/mdi/mit110/0507/50724_P46_171553.jpg,2008,['타키타 요지로'],"['모토키 마사히로', '히로스에 료코', '야마자키 츠토무', '요 키미코']",9.04
35,바디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48298,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/D8298-01.jpg,2007,['파윈 푸리킷판야'],"['아락 아몬수파시리', '오니라 람윌라이', '크리티라 인폰위지트', '파사라와린 팀쿨']",3.57
36,신부들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51566,https://ssl.pstatic.net/imgmovie/mdi/mit110/0515/51566_P31_170418.jpg,2009,['개리 위닉'],"['케이트 허드슨', '앤 해서웨이']",7.04
37,스타 워즈: 클론 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49821,https://ssl.pstatic.net/imgmovie/mdi/mit110/0498/D9821-00.jpg,2008,['데이브 필로니'],"['맷 랜터', '사무엘 L. 잭슨', '이안 아베크롬비', '코리 버튼', '톰 케인', '제임스 아놀드 테일러', '캐서린 타버']",7.51
38,블러드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64130,https://ssl.pstatic.net/imgmovie/mdi/mit110/0641/F4130-01.jpg,2009,['크리스 나혼'],"['전지현', '코유키']",4.94
39,바람,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70773,https://ssl.pstatic.net/imgmovie/mdi/mit110/0707/70773_P35_115045.jpg,2009,['이성한'],['정우'],9.28
40,타운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72066,https://ssl.pstatic.net/imgmovie/mdi/mit110/0720/72066_P03_181335.jpg,2010,['벤 애플렉'],"['벤 애플렉', '존 햄', '레베카 홀', '블레이크 라이블리', '제레미 레너', '피트 포스틀스웨이트', '크리스 쿠퍼']",7.51
41,9: 나인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52526,https://ssl.pstatic.net/imgmovie/mdi/mit110/0525/52526_P15_101816.jpg,2009,['쉐인 액커'],"['일라이저 우드', '존 C. 라일리', '제니퍼 코넬리', '크리스핀 글로버', '마틴 랜도', '크리스토퍼 플러머']",7.76
42,둠스데이 - 지구 최후의 날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65195,https://ssl.pstatic.net/imgmovie/mdi/mit110/0651/F5195-00.jpg,2008,['닐 마샬'],"['로나 미트라', '밥 호스킨스', '에드리안 레스터', '알렉산더 시디그', '데이비드 오하라', '말콤 맥도웰']",5.95
43,슈퍼미니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1163/116327_P00_100422.jpg,2014,"['토마스 자보', '헬레네 지라드']",,8.23
44,원챈스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113163,https://ssl.pstatic.net/imgmovie/mdi/mit110/1131/113163_P44_174922.jpg,2013,['데이빗 프랭클'],"['제임스 코든', '알렉산드라 로치', '콤 미니', '제미마 루퍼']",8.34
45,아메리칸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70396,https://ssl.pstatic.net/imgmovie/mdi/mit110/0703/70396_P16_220851.jpg,2010,['안톤 코르빈'],['조지 클루니'],6.49
46,헤드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75597,https://ssl.pstatic.net/imgmovie/mdi/mit110/0755/75597_P05_110125.jpg,2011,['조운'],"['박예진', '백윤식', '류덕환']",4.84
47,킬러들의 도시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66637,https://ssl.pstatic.net/imgmovie/mdi/mit110/0666/F6637-00.jpg,2008,['마틴 맥도나'],"['콜린 파렐', '브렌단 글리슨', '랄프 파인즈']",7.47
48,드래곤 블레이드: 천장웅사,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125443,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125443_P62_101542.jpg,2015,['이인항'],"['성룡', '존 쿠삭', '애드리언 브로디', '시원', '샤니 빈슨']",5.84
49,살인 소설,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92415,https://ssl.pstatic.net/imgmovie/mdi/mit110/0924/92415_P19_160649.jpg,2012,['스콧 데릭슨'],['에단 호크'],7.14
50,워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60526,https://ssl.pstatic.net/imgmovie/mdi/mit110/0605/F0526-01.jpg,2007,['필립 G. 아트웰'],"['이연걸', '제이슨 스타뎀']",7.25
51,비밀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1513/151327_P01_154735.jpg,2016,['이아린'],"['조병규', '김윤지', '전성일']",10.00
52,우리들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146504,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146504_P18_134446.jpg,2015,['윤가은'],"['최수인', '설혜인', '이서연', '강민준']",9.29
53,심야식당2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156091,https://ssl.pstatic.net/imgmovie/mdi/mit110/1560/156091_P11_152424.jpg,2016,['마츠오카 조지'],['코바야시 카오루'],8.54
54,19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53723,https://ssl.pstatic.net/imgmovie/mdi/mit110/0537/53723_P04_110334.jpg,2009,['장용우'],"['T.O.P', '승리', '허이재']",7.84
55,"옵스큐어 나이트 - 와일드 리브스 (더 버닝 원스, 더 옵스티네이트)",https://movie.naver.com/movie/bi/mi/basic.nhn?code=219191,https://ssl.pstatic.net/imgmovie/mdi/mit110/2191/219191_P01_201606.jpg,2022,['실뱅 조지'],,0.00
56,개들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83960,https://ssl.pstatic.net/imgmovie/mdi/mit110/0839/83960_P34_173120.jpg,2012,['조병옥'],"['김무열', '진선규']",7.32
57,라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122494,https://ssl.pstatic.net/imgmovie/mdi/mit110/1224/122494_P12_120029.jpg,2015,['안톤 코르빈'],"['로버트 패틴슨', '데인 드한', '조엘 에저튼', '알레산드라 마스트로나르디', '벤 킹슬리', '피터 루카스']",7.73
58,퍼펙트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97823,https://ssl.pstatic.net/imgmovie/mdi/mit110/0978/97823_P37_150922.jpg,2013,['닐스 아르덴 오플레브'],"['콜린 파렐', '누미 라파스', '테렌스 하워드']",6.96
59,크리드 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163798,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163798_P02_154522.jpg,2018,['스티븐 카플 주니어'],"['마이클 B. 조던', '실베스터 스탤론']",8.68
60,나이트 폴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93068,https://ssl.pstatic.net/imgmovie/mdi/mit110/0930/93068_P24_140414.jpg,2012,['주현량'],"['장가휘', '임달화']",8.06
61,베르테르,https://movie.naver.com/movie/bi/mi/basic.nhn?code=201852,,2020,['조광화'],,0.00
62,드래곤 프린세스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175325,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175325_P10_114214.jpg,2018,['알트욤 루키체프'],,4.67
63,블러드타이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100984_P30_100418.jpg,2013,['기욤 까네'],"['마리옹 꼬띠아르', '밀라 쿠니스', '클라이브 오웬', '조 샐다나', '빌리 크루덥']",7.81
64,미스 프레지던트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162420,https://ssl.pstatic.net/imgmovie/mdi/mit110/1624/162420_P09_133417.jpg,2017,['김재환'],,6.44
65,5 to 7,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104373,https://ssl.pstatic.net/imgmovie/mdi/mit110/1043/104373_P03_141633.jpg,2014,['빅터 레빈'],"['안톤 옐친', '베레니스 말로에']",8.07
66,카운터스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168669,https://ssl.pstatic.net/imgmovie/mdi/mit110/1686/168669_P18_101914.jpg,2017,['이일하'],,9.46
67,내가 처음으로 사랑한 소녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213628,https://ssl.pstatic.net/imgmovie/mdi/mit110/2136/213628_P11_170758.jpg,2021,"['양조개', '오영산']",,8.42
