movie,sentence,score
웅남이,혹시나 했는데 진짜 보길 잘했다.ㅎㅎ완전 웃김,10
샤잠! 신들의 분노,신들의 분노가 아닌 관람객의 분노가 맞을듯...DC 리부트에서 살아남기 힘들듯...,3
웅남이,배우들 모두 수고하셨습니다!,10
세자매,난 이 영화를 보고 장윤주가 이렇게 연기를 잘하는줄 이 영화 보고 알았다!,10
이니셰린의 밴시,떠나려는 널 붙잡으면서도 네가 없는 내 걱정부터 했었어. 그곳도 여기랑 비슷한거 같은데 넌 거기가 좋아? 모르겠고 난 여기 있을래. 잔해와 무덤과 함께,8
웅남이,멧돼지 귀여웠던 사람손??,10
웅남이,박성광 개콘때 팬임 근데 영화보다 나갔음 왠만하면 참으려했지만..,1
스즈메의 문단속,얼빠 스즈메의 수난기 그 이상도 이하도 아님,4
웅남이,오달수씨를 다시 볼 수 있어서 너무 반가웠어요 ,4
태극기 휘날리며,최고의 영화 대작이기도 하지만 어디 하나 치우치지 않고 리얼리티에 가깝게 만들었다 ,10
웅남이,즐겁게 잘 봤습니다~~,10
소울메이트,진짜 최고!!! 다들 진짜 완벽했다ㅠㅠㅠㅠ ,10
웅남이,요즘 볼거없을때 웅남이가 딱이네요,9
파벨만스,애기들연기할땐재밋어서보다가어른으로변해서연기하는 남은1시간반잣다 지루한거좋아하는사람은볼만함.나처럼 잠이 안오는사람도 한번보면깊게잘수있음.진짜엄청졸림 ,1
웅남이,어이가 없는게 왜 네이버영화 평점을 조작함??? 조작할꺼면 뭐하러 평점 영역을 만들아 놓았음?? 없애지,1
웅남이,기대했던것 보다는 좀 약하다 ,6
웅남이,이런 영화를 돈주고 보다니....ㅋㅋ,4
대외비,재밌게 봤습니다. 배우들의 연기가 좋았어요!,8
웅남이,추천요~,10
성룡의 빅타임,"브래들리와의 액션씬은 충분히 볼만한 가치가 있지만, 뜬금없긴 하다.",6
컨저링 3: 악마가 시켰다,형만한 아우가 없다는 걸 보여주는 듯해요 갈수록 안 무서워요 ㅠ,6
뱅드림! 로젤리아 에피소드Ⅰ: 약속,팬이라면 누구나 좋아할 거에요! 음악도 좋고 역시 극장에서 봐야 하는 이유가 있습니다.,8
스즈메의 문단속,재밌게 잘봤습니다. 마지막엔 정말 감동이였습니다.,10
모나리자와 블러드 문,스토리는 아쉽지만 음악이 좋았습니다.,7
웅남이,너무 웃어서 민망했네요..,10
놉,놉은 UFO가 아니라 유기체였어.... 별내용도 없고 그닥...,7
모나리자와 블러드 문,헐리우드 영화지만 전종서를 위한 영화처럼 전종서의 매력들이 많이 돋보이는 작품.,10
카센타,실제 있었던일.예전 경찰청사람들이란 프로에서도 방송했던 스토리,10
스즈메의 문단속,그냥 그랬어요. 취향 맞는 분들만 보세요.,5
소울메이트,재미있어요,8
똑똑똑,와... 게2 ㅇ ㅐㅂ1 둘에 아이???ㅋㅋㅋ 아이는 무슨죄???ㅋㅋㅋ 진짜 영화 구성부터 노답.. 요새 미국영화 웨케 맛이 간거지??? 한국영화보다 못하냐 어케된게....,4
파벨만스,잔잔한 영화인데도 지루하지 않았어요! 몰입해서 잘 봤습니다.,9
스마트폰을 떨어뜨렸을 뿐인데,왜 평점이 낮지 존잼인데 근데 김희원 연기가 별로ㅜ,10
웅남이,동정표 주지 말아라 성광이형 더 발전하길 바라면,2
웅남이,안타깝다..에휴 걍 접어라 접어,2
웅남이,"평점이 8.26인 사실이 너무나 놀랍다 ㅡㅡ 이런 평점에 속아서 쿠폰 1도 안쓰고 제값주고 티켓 끊고 팝콘까지 세팅해서 봤는데,  80년대 심형래 영화 보는줄...쌍욕 나올뻔 ㅡㅡ 연기자들이 다 메꿔준 영화임!! 박성광 너 감독하지마라~!! 봉준호 박찬욱이 공들여 K-영화 위엄 올려 놓은거 다 깎아먹음, 거기다 미투 논란 연기자까지...가지가지~",2
웅남이,괜찮구만 뭐,10
웅남이,음...,1
치킨래빗: 잃어버린 보물을 찾아서,피그미족 나올 때 제 남편 닮아서 정말 웃기더라구요ㅋㅋㅋ,10
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",도공마을1화까지만 공개에요..ㅜㅜ 그리고 심지어 편집도 안되서 회차분 끝나고 시작할때마다 회차이름소개부터 다 봐야되고 노래도 다 들어야되요 전 노래 좋아해서 괜찮았지만 극장내부는 괜히 갑분싸..,6
웅남이,터져 나오는 웃음에 나도 놀랐네요~~ㅋ 강추요,10
타짜: 원 아이드 잭,불면증 치료에 최고인 영화! 잠이 솔솔 옵니다 ㅋㅋ ,1
웅남이,진짜 너무 재밌습니다 너무 재밌네요,1
웅남이,ㅋㅋ박성웅 .곰연기 킁킁 ..ㅎㅎ 코메디는 코메디로재밌었어요~~^^ 최민수아재 카리스마 어설픈경찰아저씨 푼수이이경ㅋ 웅남이 엄마 연기 넘 잘하심유쾌해~~^^,10
모나리자와 블러드 문,전달하려는 메세지도 없고 영화가 아니라 마치 장편 뮤비 같은 괴상한 작품,2
대학살의 신,뭐가 재밌지?,1
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",편집을 이렇게 성의없이하고 영화관람료를 받아가다니..최악이었음,1
틸,이 답답한 이야기가 현실이라니. 죽어라도 벌받길.,6
스즈메의 문단속,감독이 이젠 너무 날로 먹으려고한다..1시간만에 끝나고 스토리도 뭔지 모르겠고 이 좋은 소재를 가지고 이것밖에 못하나?싶을정도. 여주는 처음부터 끝까지 소타상 소타상 이 ㅈ ㄹ 하는데 누가보면 가족인줄;;,4
더 웨일,영화보다 뛰어난 연기,7
아바타: 물의 길,1편은 나비족이라는 화려한종족 그들의 세계에대한 신선함 그리고 화려한 전투씬 두컷이 찬가받을만했음 그러니 1200만관객가뿐했고.반면 2편은 수중세계에 아름다움 그리고 가족애를보였다지만 러닝타임 3시간 절반이상이 말만많아서 지루했고 1000만관객간건우겨넣은듯 이거도 극장에서 독점했나?그리고 대체 2편에 평점10점뭐냐 생각이란걸하고 영화를봐 알바비를 두둑히받는건가?,3
모나리자와 블러드 문,"전종서가 헐리웃 진출했다고 해서 조연인줄 알았는데 생각보다 비중이 높다. 이 정도면 거의 원탑 주연이라 봐도 될 듯. 스토리가 어렵진 않은데 모나리의 힘이 어디서 온 건지, 왜 갇혀 있었던 건지 등등 밝히지 않은 이야기가 많아서 속편에서 뭔가가 밝혀질거 같다는 생각이 들기도 한다.",8
B컷,"김동완 의리~!!!평소에 좋아라 하는 여배우 둘.전세현, 손지안.근데 손지안만 노출 심하게 나온 이유가 뭘까.출근길 지하철에서 보다가 베드신에 깜놀.",8
미녀 삼총사 3,예전 미녀삼총사 시리즈 생각하면 안됨ㅋ 요원셋이 전투력이 형편없음. 원래 찰리스 앤젤들 세명은 좀 전지전능한 액션요원들인 재미로 보는데 어떻게 이따위 영화가 다있나싶음ㅋ 보는게 시간낭비ㅋ 한심한 쓰레기영화임,1
모나리자와 블러드 문,영화보고 바로 솔로여행 갔습니다,10
화려한 휴가,역사가 반복안되도록...,10
웅남이,개그는 인정  안ㅇ권  그리고 정ㅇ성?,6
헤어질 결심,영화가 끝나고 나서 느껴지는 그 공허함...예전에 봤던 파이란이 생각이 났다 똑같은 중국 여주인공이어서 그런가 똑같이 이어지지 못한 인연이라서 그런가 기계처럼 메마른 나한테도 이런 감정이 있다고 느끼게 해준 영화... ,10
스즈메의 문단속,지진을 소재로 이렇게 감동적이고 신선한 충격을 줄 수 있다니. 당신의 창의력에 박수를!,10
웅남이,덕분에 많이 웃었습니다.,10
스즈메의 문단속,여운이 계속 남는 작품. 소름돋는 연출과 영상미. 최고의작품,10
퍼머넌트 노바라,여자들이 하나같이 남자 없이 못사는 정신병자들 같아서 보다 말았다. ,4
미드소마,예술이라는 명분으로 맘껏 싸질러대는 정신이상병자의 광기.예술과 정신병의 경계선을 햇갈려 자신을 과대평가하는 감독의 자만심. 그것의 역겨운 결과물.,1
웅남이,정우성의 비트.. 그때 당시엔 내가알기론 미국 한국 관계가 가장 좋았을때였다.. 최고의 우방시절?그런 느낌이었다..아무튼 원래는 연기 순서가 비열한 거리&amp;gt; 올드보이 &amp;gt; 박하사탕 &amp;gt; 웅남이 이런식으로 가야하는데 박성웅 배우는 올드보이전에 웅남이를 택했다 한국형 메니지먼트의 진화라고나할까,10
웅남이,진지하게 평점만 믿고 보고 왔는데 잠이랑 싸우고 옴 ㅇㅇ 어디가 재밌는지 1도 이해안되고,1
웅남이,와 이런 영화가 있다니놀랍다,1
웅남이,생각보다 재미있었네여 ㅋㅋ ,10
웅남이,가볍게 시간 보내기 좋네요,8
웅남이,맘껏 웃어봤네요,10
멍뭉이,넘 재밌게 잘봤어요.. 울애기가 떠난지 2달 돼어서 눈물  펑펑 울고 봤네요... 강아지 생명은 넘 짧아요.. 없는 빈자리는 정말 힘들더라구요.이세상 반려견들 안아프고 평생 주인과 함께 행복하길 바랍니다,10
스즈메의 문단속,재난에 대한 공감을 온전히 느낄순 없지만 치유는 누구에게나 필요하니깐,7
앤트맨과 와스프: 퀀텀매니아,와칸다 보단 낫더라,7
어메이징 모리스,볼만했어요,7
멍뭉이,강아지들이 귀여워서 좋아요,10
두다다쿵: 후후섬의 비밀,아이들이 좋아해요,10
모나리자와 블러드 문,사이키델릭. 미친달의 세계에 온 것을 환영한다.,8
스즈메의 문단속,볼만했어요,9
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",프로듀싱 뭣 같이 했네 중간중간 주제가를 계속 쳐 틀어놓네 스태프 제작사 자막도 중간에 계속 띄워서 집중안됨 영화를 무슨 넷플릭스 애니 이어보기처럼 만들어 놨네,1
스즈메의 문단속,"이 시대를 살아가는 문 너머의 소외된 피해자들에 대한 위로와 사랑을 통한 극복, 밝은 미래에 대한 희망.",9
서치 2,긴장감있고 재미있어요,9
웅남이,박성웅 배우님만 보입니다~~!눈물 찔금 흘리고 나왔네요! 늘 응원합니다^^ ,10
웅남이,올 추석에 공중파 tv나 케이블에서 공짜로 봅시다...그 전에 볼 수도 있고...돈 버리며 영화관 가는 사람이 바보...,1
콰이어트 플레이스 2,"1편은 보지 않은 채 보게 됐는데, 긴장감 가득한 전개로 눈을 뗄 수가 없더군요~~ 추천이요!",9
카운트,감동적이에요,9
소울메이트,친구랑 같이 보기 좋아요,10
캐시트럭,"가볍게 팝콘무비 보러 간건데, 눈을 뗄 수 없는 연출 덕분에 상영 내내 몰입할 수 있었어요. 이게 바로 영화죠!",9
메간,너무 재밌다예상가능한 스토리지만중간중간 스킵하며 봐서 그런지예쁘고 매력적인 메간킬링타임용으로 제격이다,10
용서는 없다,그냥 스토리가  정말 어거지임  딸 납치됐는데  경찰관계자가   혼자 일을 더 만들고 다니는게 말이되냐  어휴  ,4
웅남이,ㅋㅋㅋ,10
웅남이,ㅋㅋㅋ,10
크루엘라,"기대하지 않았는데, 너무 재밌는 영화였어요! 돌비로 봤으면 더 최상이었을 것 같아요",9
웅남이,즐거운 관람이였네요 색다른 재미가 있어요,8
베놈 2: 렛 데어 비 카니지,산만한 전개라고 생각되더라구요 캐릭터 소비도 너무 컸던 것 같아요,7
웅남이,누가 미디어 강국이래. 한국영화는 미래가 없다.. ,1
듄,영상미가 끝내주는 영화였어요. 돌비관에서 봤는데 최고였네요!,9
웅남이,눈물 질질 흘리고 간 다 빼먹었습니다.꼭 보고 오세요.,10
스즈메의 문단속,무슨 이딴 영화가 다 있는지 모르겠네요…. 이런걸 개봉시켜주는게….,1
이터널스,"예전의 마블은 어디로 간 걸까요, 아쉬움 가득한 시리즈였어요 ㅠ",7
두다다쿵: 후후섬의 비밀,아이들이랑 같이 보기 좋아요,10
에브리씽 에브리웨어 올 앳 원스+,네이버 평론가들 개봉 초기에는 혹평을 하더만 오스카 타니까 바로 꼬리 내리는 꼬락서니 하고는...ㅋㅋ,5
멍뭉이,아이들이랑 같이 보기 좋은 영화입니다.,10
강릉,배우들의 연기에만 기대기에는 요즘 관객들의 눈높이가 너무 높아졌어요 ㅠ,5
웅남이,ㅎㅎ완전 웃김ㅎㅎ,10
웅남이,오랜만에유쾌한영화봤어요너무재밋게 잘봤습니다웅남이!흥하여라~~,10
크리드 3,재미있게 봤어요,6
장르만 로맨스,코미디인 줄 알고 보면 당황할 수도 있어요! 연기들이 좋아서 잘 봤네요 ^^,8
소울메이트,"공감과 위로가 필요해서 찾은 영화였어요.제 마음이 채워지는 듯한 느낌이었습니다! 좋은 영화, 연출 감사합니다.",10
파벨만스,스필버그 감독쯤 되면 이정도의 평범한 삶이 영화가 되는구나 ,9
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",재미있게 관람했습니다.,10
압꾸정,중식 만든다하고 짬뽕에 탕수육소스 부은느낌 ,2
똑똑똑,킬링타임으로 볼만했어요,5
앤트맨과 와스프: 퀀텀매니아,"앤트맨1,2의 맛이 그립지만 나름 괜찮음..",7
에브리씽 에브리웨어 올 앳 원스+,날 미치게 만드는 영화!  보다미치는줄...,1
스즈메의 문단속,예상보다 좋았습니다 감동적이네요.,10
스즈메의 문단속,신카이마코토 감독님 잘만드시네요,7
플레인,킬링타임으로 볼만했어요,10
대외비,결말이 아쉽지만 배우들 연기가 좋네요,6
웅남이,불면증환자분들~잠자고싶으면 보세요,1
웅남이,재미있어요,10
소울메이트,배우들 연기가 좋네요,8
모나리자와 블러드 문,볼만했어요,5
웅남이,영화제 대상은 싹쓰리! 예상합니다!! 굿굿굿,10
모나리자와 블러드 문,전종서배우의 연기가 인상깊네요,7
소울메이트,그냥 평범 스토리 이입이 잘 안되긴 한다,5
올빼미,230324[8]왕 치고는 너무 간사함. ㅠㅠ,8
소울메이트,재미있게 봤어요,10
틸,눈 돌리거나 피하지 말고 똑바로 보아야 하는 현실,7
웅남이,기대 안 하고 봤는데 즐겁게 봤어요 오랜만에 마음 편히 웃으며 보고왔네여 ㅎㅎ ,10
웅남이,돼지도 너무 귀워웠음ㅋㅋ,10
스파이더맨: 노 웨이 홈,마블팬에게 선물같았던 시리즈였어요! 진짜 너무너무 재밌어서 재개봉 하면 또 보러 갈거에요 ^^,10
소울메이트,수면제영화...제주도 구경은 좋아요,1
벼랑 위의 포뇨,힐링되는 연출. 여러번 봐도 안질려요,10
틸,아직도 차별은 완전히 사라지지 않았지만.. 그래도 조금씩 변하고 있는 거라 믿으며..! 엄마 연기가 너무 감동적이다...,10
킹덤 오브 헤븐,감동적이었어요 최고입니다,10
스즈메의 문단속,걍 감독이 천재같음 개추천,10
더 퍼스트 슬램덩크,"북산에 송태섭이 있다면, 산왕에는 박새로이가 있다",10
영웅,뮤지컬을 영화한거라 들었는데. 새로운시도 치곤 약간 삼천포로 빠지는 극전개도 있지만 잘어울리게 만든거 같아요.,7
웅남이,재밋어요 웃기고  보세요,10
웅남이,재미집니당 킬링타임으로 딱입니당!!,10
파벨만스,스필버그라 이정도지,6
소울메이트,호불호 엄청 갈릴 영화 입니다전혀 공감을 못해서 정말 재미 없었습니다,5
스즈메의 문단속,음.. 이해가 안되는 부분이 많았어요.. 개연성이 너무 없어요,4
라 비 앙 로즈,여배우가 연기 잘했네요. 감성풍부한 노래도 듣기좋았구요,7
파벨만스,스필버그 끝없는 가족애는 변함없다.,9
친절한 금자씨,명작. 복수 관련 영화 중 단연 최고.,10
십개월의 미래,펼쳐지는 상황들이 너무 현실적이라 다큐를 보는 느낌도 살짝 들었다가 끝에는 너무 감동적이라 눈물이 났음 ㅜㅠ 어느 누구하나 인위적이지가 않고 연기를 참 잘한다. 잘 만든 작품..,10
에놀라 홈즈,이거 추리 영화 아니었나?,1
샤잠! 신들의 분노,1편을 보고도 2편 보는 사람들은 대단한듯 ㅋㅋ 1편 보고 히어로 영화 중 유일하게 거르게된 영화가 섀쟴~~,1
웅남이,너무재미없어요... 내시간.. 내돈... 보다나간적은 처음..하아... 헛웃음도 안나와요,1
에브리씽 에브리웨어 올 앳 원스+,양자경 사랑해요,10
스트레인지 월드,스트레인지 월드,7
웅남이,좀... 이도저도 아니네요,2
웅남이,라라랜드 이후 가장 재밌게 봤다. 초강추. 나만 볼순없다,10
에놀라 홈즈 2,셜록 홈즈같은 모습을 기대하고 본 내가 xx이지,1
스즈메의 문단속,굉장히 지루하고 아쉬웠습니다,2
웅남이,어이가없다 재미가없다.,2
웅남이,박성웅이 하드캐리하는 영화!!,10
두다다쿵: 후후섬의 비밀,재미있었어요. 아이들도 좋아했어요,8
스즈메의 문단속,루루류르류르류류루류,10
파벨만스,영화감독이 되어가는 영화같은 순간,7
웅남이,돈주고 본 영화중 제일 재미가 없네요감독이름보고 갔는데 혹시나가 역시나네요,4
모나리자와 블러드 문,예술호소영화 ㅋㅋ,4
소울메이트,좋네요 좋아요 여운이 남네요,10
스즈메의 문단속,처음부터 끝까지 재미있고 음악 영상 다 좋음. 스토리라인이 반복적이면도 있으나 지루할틈 없이 재미있게 봤음,10
이니셰린의 밴시,다정함이라는 제동 장치로 결코 멈출 수 없는 톱니바퀴 ,8
셰익스피어 인 러브,아카데미의 황당한 선택.기네스 펠트로의 매력과 가끔 나오는 코미디 빼곤 볼 거 없다.,5
파벨만스,특별할 것 없는 평범한 일기 같은 영화.. 하지만 영화를 좋아할 수밖에 없게 만드는 영화,7
웅남이,오..대박~~~^.^코믹좋아ㅋㅋㅋ,10
미혹,공포영화인데 억지부리지 않으면서 세련되고 적당히 재밌는게 나왔네요 잘 봤습니다,10
웅남이,감독 인맥이 어마어마 하구나와모든 배우가 박성광 스러워지는걸볼 수 있음 심지어 정우성이 티저 영상으로 나와2탄을 예고함 (곰 씨지는 귀여워서 그나마 봐줄만 함),2
샤잠! 신들의 분노,개연성이라고는 하나도 없는듯...내 시간이 좀 아까움. 마지막 그 여자분은 왜 나옴????,4
스즈메의 문단속,후반부에 과거 스즈메와의 만남에서 눈물을 참을 수가 없었어요~,10
모나리자와 블러드 문,모나리자모나리자모나리자,6
압꾸정,후기 잘 안쓰는데 점수가 너무 낮길래 뭐지?싶어서 씀. 마블리님의  액션은 없어서 그런간가?액션 대신 마블리님 드립이 재밌는데 ㅎㅎ코미디 요소로 재밌게 볼만한데 점수가 왜이런지 모르겠네요. 30대 이상만 웃긴건가... 옛날 압구정 핫할 때 생각도 나고 아무튼 시간 버릴꺼까진 없으니 보세요. 본지는 꽤 됐지만 암튼 이런 이상란 후기들 보고 뭐지 싶어서 넷플에서 봤는데 재밌게 봤어요.,10
소울메이트,최고입니다!!!,10
해리 포터와 죽음의 성물 - 2부,하 말해뭐해 해리포터인디,10
미혹,정말 긴장감 없는 공포 영화군요. 이렇게 잘 평점 댓글 안다는데...점수 너무 안좋게 주면 좀 그러니 아무 의미 없이 6점 드립니다.다음에는 좋은 작품 기대 할게요.,6
더 퍼스트 슬램덩크,"90년대 슬램덩크를 봤던 모든 이들에게 바치는 아니메가 아닐까 싶다.  최근에 본 젊은층이나 어린층들도  재밌게 볼수 있다면 , 그 시절 청춘이었던 모든 사람에겐 뭉클한 추억에 젖을수 있는 작품인듯. 나이 먹고 왜 우냐고 할까만은 나도 모르게 한방울 두방울 눈물이 떨어지는거 보고 놀랬다. 영화가 끝나고 나서 오랫만에 너무나 뿌듯하게 보고 나온 느낌이었다.",10
그대 어이가리,넘 넘 맘이 아프지만 이게 현실이란게 더더 슬프네요ㅠㅠ,10
모나리자와 블러드 문,정말 뭘 말하려는 건가요? ㅠㅠ 갑자기 끝나네요. 전종서도 전반적으로 엽기 느낌이 ㅠㅠ,6
썬더 포스,진짜 오랜만에 실컷 소리내어 웃었습니다. 힐링되네요 ㅎㅎ 미국식 B급 병맛 코미디는 호불호가 있는데... 다 이해 못 해 70% 정도밖에 웃지 못한 아쉬움이 있네요.. 하림 꽃게랑맛 로맨스는 덤~!,10
웅남이,누가 재밌다고 했지....,2
영웅,감상평을 감히 달 수가 없다,10
웅남이,저의 인생작품 클레멘타인 생각났어요. 다시 한번 인생 영화 만들어 주셔서 감사합니다. ,10
웅남이,예능에서 그리 홍보한이유가있었네.. ,1
스즈메의 문단속,스즈메가 자전거를 타고 바다가 보이는 언덕길을 내려가는 장면에서 캬..반복적인 구조에 약간 지루할 수는 있으나 영상미만 봐도 눈이 즐거운 영화.,9
토니 타키타니,참신한 연출과 결핍과 상실이 묻은 영화,10
웅남이,이거 진짜 웃기넼ㅋ 짱,10
탑건: 매버릭,오락 영화의 그 자체인 영화,10
소울메이트,좋은 연출과 뻔하지 않아 좋은 스토리,6
애덤 프로젝트,아무리 힘들어도 애들만 보면 피곤이 싹 사라지지.,7
앤트맨과 와스프: 퀀텀매니아,영화 OST WELCOME BACK이 좋았는데어딘가 모르게 난해한...,7
파벨만스,영화를 위한 영화,10
스즈메의 문단속,너무 재밌게봤습니다..,10
해빙,신선하고 반전도 재밌어요,9
윤희에게,윤희에게의 모든걸 사랑합니다.봄이 되어 꽃이 피니 다시 생각나네요,10
웅남이,중간에 잤다.ㅠㅠ아쉽다.,2
더 웨일,매우 훌륭,10
에브리씽 에브리웨어 올 앳 원스+,지금의 인연을 소중히 여기세요. 그 사람은 우주의 선물이니까요.,10
소울메이트,여운이 진한 영화 꼭 보셨으면 합니다.,10
스즈메의 문단속,몇년 기다려온 보람이 넘치는 작품이었습니다ㅎ 제 기준 부족한거 없이 완벽한 영화였네요^^ 주에 한번씩 또 보러가고 있네요,10
날씨의 아이,그뭔씹.. 애들은 가출하고 범죄 저지르고 다니는데 그게 낭만이고 사랑이고 타당한 것처럼 포장함 그리고 감독이 여자 가슴을 정~말 좋아한다ㅋㅋ^^,5
더 퍼스트 슬램덩크,Goat!!@@@@,10
스마트폰을 떨어뜨렸을 뿐인데,폰을 이용하는  저런 범죄도 있을법한것같아요 킬링타임으로 전 재밌게 봤어요,8
베스퍼,대체적으로 지루 답답한 스토리,4
스즈메의 문단속,영화를 통해 재난에 대한 아픔과 상실을 잘 위로한 영화,7
소울메이트,재밌게 관람했습니다.,7
크루즈 패밀리,무지그냥  차라리죽어라,2
스즈메의 문단속,진짜진짜 이건 ㄹㅇ 레전드 작품이다너의 이름은 버금가는 감동과 전율을 선사 ,10
웅남이,ㅋㅋ여기 영화댓글작업 지리네... 이거 캡쳐해서 신고해야지 ㅋㅋ,1
영화 너무 좋아 폼포 씨,영화속에서 영화를 보는 재미와 애니메이션으로서만 느낄수있는 화려한 영상미가 좋았고영화속 감독의 고민과 실제감독의 고민이 보이는 연출과 메세지가 매우마음에 듬 제일소름인점은 1시간30분인점,10
"광해, 왕이 된 남자",10년이 지나 다시봐도 최고의 명작,10
웅남이,비싼 식재료로 꿀꿀이죽을 만들어 버렸네요! 많은 기대를 버리고 보시길 추천합니다!!,1
어떤 영웅,남의 인정해야 영웅이 아니라 자신의 소신을 지키는게 영웅이라 말하는 거 같다,8
스즈메의 문단속,"너의이름은, 날씨의 아이도 재밌었는데이건 진짜 감동 쩔고 더 재밌었음영상미 ost 스토리 다 너무 좋음평점 낮게 주고 비하하는 사람들 노재팬인듯;;한국영화보다 훨재밌음ㅎ 1위인 이유가 있는법;",10
스즈메의 문단속,직관적인 위로의 메세지가 와닿지만 다이진과 세리자와의 행동심리와 은유적 요소가 관개에게 호의적이진 않은것같아서 아쉬움,7
웅남이,진짜 형편없고 개콘 억지웃음 보는줄알았네요 웃어야할 영화에서 인상만 쓰고나왔습니다. 그리고 각 종 영화 명장면을 갖다쓰시던데 오마주가 아니라 날로먹기아닌가요? 그리고 네이버 영화 평점 댓글 알바가 있다는 게 확신이 생겼네요,2
웅남이,기자 평점. 너무 낮아서 고민하다가 보게 됐는데 생각보다 잼나요. ,10
웅남이,재밌어용!!! 넘나 웃경,10
스즈메의 문단속,벌써다음작품이 기대됍니다!,8
스즈메의 문단속,이 정도 수준이 계속 한국에서 1위하다니 ㅎㅎ한국 영화계도 거꾸로 가네. ,2
모나리자와 블러드 문,영상미와 음악만 남았다,8
다음 소희,어른의 책임과 의무를 다하는 어른이 되고 싶다,10
웅남이,방금봤는데전 넘잼썼어요ㅡㅎ,10
웅남이,가볍게 보면 재밌고 킬링타임!진지하게 보면.. 뭐든 재미없을듯.,10
파벨만스,잔잔한 드라마지만 시간가는 줄 모르고 재미있게 봤어요~ ,10
악인전,봐도봐도 재밌어요 벌써 3번 봤어요 ,8
자산어보,정말 잘 만든 영화입니다.,10
루디 이야기,어릴 적 공부가 힘들 때 자극을 줬던 영화...주인공의 의지에 고개가 숙여져요,10
컨버세이션,보면서 살짝 울었는데 어느 장면인지 기억이 안나서 다시 봐야할 영화. 예상못한 로맨스라인에 당황스럽다가도 영화에 나오지 않은 시간동안의 인물들의 삶이 궁금해지는 영화. 다혜가 나같아서 좋으면서 싫었다. ,8
파벨만스,영화연출의 교과서...,7
웅남이,피식 한번 없이 지루한 전개와 진부한 스토리,1
웅남이,짱잼 ㅋㅋㅋㅋ역시 박성웅,10
다음 소희,"진정 이 사회에서 꼭 봐야하는 영화다! 권력, 강자!  ㅠㅠ 사회적 약자에게 갑질하는 이 드러운 세상… 따뜻한 세상이 이루어지려면 ㅜㅜ 이런 영화는 널리 퍼져서 모두가 봐야한다. 약자가 힘이 없어서 ㅠㅠㅠㅠ 슬프다 ㅠㅠ 보는 내내 마음이 먹먹했다. 우리 미래의 아이들 ㅜㅜ 화이팅!! ",10
