순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,명량,2014-07-30,"135,758,658,810","17,615,919","1,587","188,726",한국,한국,(주)씨제이이엔엠
2,극한직업,2019-01-23,"139,655,543,516","16,266,338","2,003","292,816",한국,한국,(주)씨제이이엔엠
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
4,국제시장,2014-12-17,"110,947,621,230","14,264,478","1,044","212,705",한국,한국,(주)씨제이이엔엠
5,어벤져스: 엔드게임,2019-04-24,"122,492,181,020","13,977,602","2,835","246,433",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,겨울왕국 2,2019-11-21,"114,843,932,550","13,750,668","2,648","299,454",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",한국,한국,(주)씨제이이엔엠
8,아바타,2009-12-17,"125,304,346,000","13,338,863",917,"164,457",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
9,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스
10,7번방의 선물,2013-01-23,"91,437,368,170","12,812,144",866,"167,013",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,알라딘,2019-05-23,"109,041,960,039","12,797,927","1,409","284,820",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,암살,2015-07-22,"98,469,385,781","12,706,947","1,519","175,222",한국,한국,(주)쇼박스
13,범죄도시2,2022-05-18,"131,298,796,478","12,693,415","2,521","355,768",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
14,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464",한국,한국,(주)씨제이이엔엠
15,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
16,택시운전사,2017-08-02,"95,871,631,649","12,189,706","1,906","184,208",한국,한국,(주)쇼박스
17,부산행,2016-07-20,"93,188,162,548","11,567,815","1,788","151,533",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
18,변호인,2013-12-18,"82,876,713,788","11,375,399",925,"152,290",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
19,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332",한국,한국,CJ ENM
20,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
21,괴물,2006-07-27,"66,717,700,300","10,917,400",647,"113,105",한국,한국,(주)쇼박스
22,아바타: 물의 길,2022-12-14,"137,566,182,061","10,799,124","2,809","282,120",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
23,왕의 남자,2005-12-29,"66,019,904,400","10,514,177",313,"111,193",한국,한국,(주)시네마서비스
24,어벤져스: 에이지 오브 울트론,2015-04-23,"88,645,598,646","10,504,487","1,843","194,385",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
25,인터스텔라,2014-11-06,"83,072,616,000","10,342,523","1,410","170,542",미국,"미국,영국",워너브러더스 코리아(주)
26,기생충,2019-05-30,"87,463,965,795","10,313,519","1,948","206,452",한국,한국,(주)씨제이이엔엠
27,겨울왕국,2014-01-16,"82,544,207,680","10,305,051","1,010","157,951",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
28,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
29,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
30,엑시트,2019-07-31,"79,239,937,162","9,426,960","1,660","202,418",한국,한국,(주)씨제이이엔엠
31,설국열차,2013-08-01,"67,035,020,000","9,353,799","1,128","125,777",한국,"한국,체코",(주)씨제이이엔엠
32,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107",한국,한국,(주)쇼박스
33,아이언맨 3,2013-04-25,"70,809,259,500","9,001,679","1,389","163,596",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
34,캡틴 아메리카: 시빌 워,2016-04-27,"72,686,676,527","8,678,761","1,991","161,744",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
35,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
36,수상한 그녀,2014-01-22,"62,721,621,849","8,660,801","1,027","137,011",한국,한국,(주)씨제이이엔엠
37,백두산,2019-12-19,"69,831,430,800","8,253,427","1,971","174,505",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
38,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
39,탑건: 매버릭,2022-06-22,"88,057,695,494","8,195,713","1,975","250,795",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
40,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스
41,스파이더맨: 파 프롬 홈,2019-07-02,"69,033,177,100","8,023,606","2,142","181,035",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
42,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스
43,공조,2017-01-18,"63,783,534,886","7,817,686","1,392","142,999",한국,한국,(주)씨제이이엔엠
44,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,(주)씨제이이엔엠
45,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715",한국,한국,(주)씨제이이엔엠
46,스파이더맨: 노 웨이 홈,2021-12-15,"75,193,912,210","7,551,990","2,948","276,695",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
47,미션임파서블:고스트프로토콜,2011-12-15,"57,302,548,500","7,508,976","1,024","114,771",미국,미국,(주)씨제이이엔엠
48,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,"한국,미국",워너브러더스 코리아(주)
49,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,055",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
50,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,CJ ENM
51,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,CJ ENM
52,써니,2011-05-04,"54,038,557,200","7,363,142",546,"149,157",한국,한국,(주)씨제이이엔엠
53,한산: 용의 출현,2022-07-27,"73,700,628,377","7,264,934","2,223","217,713",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
54,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
55,1987,2017-12-27,"58,170,216,145","7,232,452","1,299","138,231",한국,한국,(주)씨제이이엔엠
56,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",(주)씨제이이엔엠
57,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠
58,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214",한국,한국,(주)쇼박스
59,어벤져스,2012-04-26,"59,644,552,758","7,087,971",967,"112,559",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
60,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스
61,인천상륙작전,2016-07-27,"55,112,241,303","7,051,237","1,049","97,035",한국,한국,(주)씨제이이엔엠
62,공조2: 인터내셔날,2022-09-07,"70,917,452,586","6,982,940","2,389","275,816",한국,한국,(주)씨제이이엔엠
63,럭키,2016-10-13,"56,445,323,256","6,975,631","1,234","155,991",한국,한국,(주)쇼박스
64,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스
65,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹"
66,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
67,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,CJ ENM
68,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,755,980,300","6,686,075",824,"93,589",한국,한국,CJ ENM
69,늑대소년,2012-10-31,"46,598,017,400","6,655,501",854,"109,262",한국,한국,(주)씨제이이엔엠
70,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,(주)씨제이이엔엠
71,미션 임파서블: 폴아웃,2018-07-25,"55,888,375,112","6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
72,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스
73,다크 나이트 라이즈,2012-07-19,"47,910,613,000","6,428,574","1,210","84,755",미국,"미국,영국",워너브러더스 코리아(주)
74,사도,2015-09-16,"48,846,723,501","6,247,745","1,210","124,276",한국,한국,(주)쇼박스
75,아저씨,2010-08-04,"47,110,894,000","6,179,525",501,"110,109",한국,한국,CJ ENM
76,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
77,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
78,미녀는 괴로워,2006-12-14,"36,292,848,900","6,081,480",418,"87,141",한국,한국,(주)쇼박스
79,전우치,2009-12-23,"44,093,407,200","6,065,474",612,"102,357",한국,한국,CJ ENM
80,연평해전,2015-06-24,"45,570,025,830","6,045,353","1,013","114,491",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
81,인셉션,2010-07-21,"44,862,253,440","5,998,647",531,"92,909",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
82,레미제라블,2012-12-19,"43,185,566,000","5,938,797",696,"85,096",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
83,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"62,648,728,870","5,884,587","2,691","211,097",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
84,캡틴 마블,2019-03-06,"51,507,488,723","5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
85,타짜,2006-09-28,"36,263,483,300","5,692,997",492,"77,625",한국,한국,CJ ENM
86,쥬라기 월드: 폴른 킹덤,2018-06-06,"49,770,711,037","5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
87,청년경찰,2017-08-09,"44,382,020,516","5,653,444","1,102","118,547",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
88,숨바꼭질,2013-08-14,"39,602,995,500","5,604,106",779,"88,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
89,덕혜옹주,2016-08-03,"44,397,617,609","5,599,995",964,"97,327",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
90,더 테러 라이브,2013-07-31,"39,870,954,381","5,584,295",809,"93,489",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
91,쥬라기 월드,2015-06-11,"47,804,159,826","5,547,463","1,290","119,248",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
92,감시자들,2013-07-03,"39,389,732,679","5,509,019",949,"100,349",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
93,앤트맨과 와스프,2018-07-04,"47,470,638,985","5,448,357","1,775","148,269",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
94,닥터 스트레인지,2016-10-26,"47,490,572,396","5,447,269","1,503","162,879",미국,미국,월트디즈니컴퍼니코리아(주)
95,검은 사제들,2015-11-05,"42,412,952,592","5,443,232","1,109","131,179",한국,한국,(주)씨제이이엔엠
96,안시성,2018-09-19,"46,342,006,026","5,441,020","1,540","110,444",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
97,의형제,2010-02-04,"40,154,381,000","5,416,923",569,"118,251",한국,한국,(주)쇼박스
98,블랙 팬서,2018-02-14,"45,896,080,357","5,400,241","1,620","119,239",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
99,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
100,더 킹,2017-01-18,"43,494,687,535","5,318,202","1,310","107,989",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
101,완득이,2011-10-20,"38,533,831,000","5,311,353",629,"117,850",한국,한국,(주)씨제이이엔엠
102,트랜스포머: 사라진 시대,2014-06-25,"44,012,752,845","5,295,836","1,602","107,875",미국,미국,(주)씨제이이엔엠
103,완벽한 타인,2018-10-31,"44,356,976,474","5,294,154","1,325","143,075",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
104,조커,2019-10-02,"45,443,092,130","5,255,308","1,418","148,270",미국,미국,워너브러더스 코리아(주)
105,월드 워 Z,2013-06-20,"38,589,794,000","5,244,336",964,"102,831",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
106,타워,2012-12-25,"37,656,008,000","5,181,244",638,"81,151",한국,한국,(주)씨제이이엔엠
107,미녀와 야수,2017-03-16,"42,253,148,459","5,156,372","1,627","142,729",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
108,미션 임파서블 3,2006-05-03,"32,155,201,400","5,127,047",441,"72,584",미국,미국,UIP코리아
109,투사부일체,2006-01-19,"31,959,686,000","5,074,314",407,"54,339",한국,한국,CJ ENM
110,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,(주)씨제이이엔엠
111,독전,2018-05-22,"43,491,762,113","5,064,323","1,532","140,052",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
112,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스
113,아쿠아맨,2018-12-19,"44,145,008,504","5,041,187","1,285","105,440",미국,"미국,호주",워너브러더스 코리아(주)
114,공작,2018-08-08,"42,795,690,816","4,975,517","1,317","99,122",한국,한국,(주)씨제이이엔엠
115,인사이드 아웃,2015-07-09,"38,040,532,136","4,971,192",931,"84,082",미국,미국,월트디즈니컴퍼니코리아(주)
116,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
117,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
118,마션,2015-10-08,"39,702,034,175","4,887,144","1,132","115,967",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
119,토르: 라그나로크,2017-10-25,"39,261,266,595","4,858,572","1,640","137,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
120,어메이징 스파이더맨,2012-06-28,"41,165,656,235","4,853,273","1,118","92,766",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
121,"님아, 그 강을 건너지 마오",2014-11-27,"37,360,250,579","4,802,642",806,"93,556",한국,한국,"CGV아트하우스,(주)대명문화공장"
122,봉오동 전투,2019-08-07,"40,588,894,538","4,787,579","1,476","107,032",한국,한국,(주)쇼박스
123,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500","4,786,259",634,"84,189",한국,한국,(주)쇼박스
124,군도: 민란의 시대,2014-07-23,"36,991,750,499","4,775,924","1,394","67,260",한국,한국,(주)쇼박스
125,남산의 부장들,2020-01-22,"41,225,216,650","4,750,345","1,659","140,053",한국,한국,(주)쇼박스
126,라이온 킹,2019-07-17,"41,519,732,430","4,743,295","1,936","126,503",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
127,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,977,500","4,720,172",713,"91,915",한국,한국,(주)쇼박스
128,주토피아,2016-02-17,"37,116,473,742","4,707,962",735,"131,096",미국,미국,월트디즈니컴퍼니코리아(주)
129,엣지 오브 투모로우,2014-06-04,"38,786,998,201","4,706,213",801,"95,776",미국,미국,워너브러더스 코리아(주)
130,신세계,2013-02-21,"34,927,253,285","4,689,828",671,"91,743",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
131,신비한 동물사전,2016-11-16,"39,365,960,288","4,669,702","1,431","116,374",미국,"미국,영국",워너브러더스 코리아(주)
132,도가니,2011-09-22,"35,567,476,000","4,662,926",756,"88,345",한국,한국,(주)씨제이이엔엠
133,쿵푸 팬더,2008-06-05,"29,998,150,000","4,654,266",563,"79,902",미국,미국,CJ ENM
134,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
135,스파이더맨 3,2007-05-01,"29,511,658,000","4,592,309",806,"79,966",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
136,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
137,맘마미아!,2008-09-03,"29,697,221,850","4,579,773",451,"111,827",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
138,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠
139,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500","4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
140,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009",한국,한국,(주)쇼박스
141,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932",한국,한국,(주)씨제이이엔엠
142,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,690,943,500","4,499,776",702,"93,745",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
143,강철비,2017-12-14,"35,490,646,466","4,452,900","1,426","80,360",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
144,아이언맨 2,2010-04-29,"32,637,290,500","4,425,235",921,"87,672",미국,미국,CJ ENM
145,해리포터와 죽음의 성물2,2011-07-13,"34,668,545,500","4,421,210",757,"70,853",미국,미국,워너브러더스 코리아(주)
146,다만 악에서 구하소서,2020-08-05,"38,602,897,990","4,357,873","1,998","193,850",한국,한국,(주)씨제이이엔엠
147,헌트,2022-08-10,"44,600,858,153","4,352,390","1,625","170,963",한국,한국,플러스엠 엔터테인먼트
148,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
149,강철중: 공공의 적 1-1,2008-06-19,"28,638,465,100","4,313,102",707,"74,158",한국,한국,"CJ ENM,(주)시네마서비스"
150,아이언맨,2008-04-30,"27,880,712,500","4,300,365",592,"78,269",미국,미국,CJ ENM
151,아가씨,2016-06-01,"35,221,312,991","4,289,008","1,171","90,393",한국,한국,(주)씨제이이엔엠
152,박물관이 살아있다!,2006-12-21,"24,401,542,200","4,245,247",345,"56,526",미국,미국,이십세기폭스코리아(주)
153,다크 나이트,2008-08-06,"28,208,421,040","4,228,360",462,"72,855",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
154,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495",한국,한국,(주)쇼박스
155,더 퍼스트 슬램덩크,2023-01-04,"43,089,579,568","4,181,273","1,060","196,701",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
156,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
157,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스
158,건축학개론,2012-03-22,"30,245,742,400","4,114,167",593,"106,701",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
159,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,CJ ENM
160,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
161,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987",한국,한국,(주)씨제이이엔엠
162,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
163,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스
164,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419",한국,한국,(주)쇼박스
165,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
166,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
167,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,(주)씨제이이엔엠
168,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,728,426,385","3,964,965","1,106","110,158",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
169,매드 맥스: 분노의 도로,2015-05-14,"33,794,137,362","3,920,851",799,"103,728",미국,"미국,호주",워너브러더스 코리아(주)
170,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
171,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604",한국,한국,(주)쇼박스
172,베놈,2018-10-03,"34,100,211,207","3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
173,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499",한국,한국,(주)쇼박스
174,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,304",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
175,남한산성,2017-10-03,"31,225,419,792","3,849,129","1,229","71,102",한국,한국,(주)씨제이이엔엠
176,반도,2020-07-15,"33,078,694,380","3,812,954","2,575","199,267",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
177,너의 이름은.,2017-01-04,"30,738,683,682","3,807,817",947,"89,744",일본,일본,플러스엠 엔터테인먼트
178,암수살인,2018-10-03,"32,998,321,048","3,789,553","1,177","126,129",한국,한국,(주)쇼박스
179,데드풀 2,2018-05-16,"34,185,664,639","3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주)
180,라라랜드,2016-12-07,"31,083,251,508","3,767,417",727,"115,041",미국,미국,판씨네마(주)
181,국가부도의 날,2018-11-28,"30,895,057,837","3,755,469","1,180","101,172",한국,한국,(주)씨제이이엔엠
182,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498",한국,한국,(주)쇼박스
183,신기전,2008-09-04,"24,326,406,000","3,728,439",585,"78,464",한국,한국,CJ ENM
184,해리 포터와 불사조 기사단,2007-07-11,"23,010,956,770","3,702,538",768,"53,631",미국,미국,워너브러더스 코리아(주)
185,미이라,2017-06-06,"30,504,689,978","3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
186,82년생 김지영,2019-10-23,"30,306,859,310","3,679,162","1,486","145,464",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
187,분노의 질주: 더 익스트림,2017-04-12,"30,044,577,348","3,659,683","1,469","114,213",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
188,분노의 질주: 홉스&쇼,2019-08-14,"32,242,734,793","3,657,627","1,311","94,904",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
189,모가디슈,2021-07-28,"34,601,724,626","3,619,202","1,688","212,055",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
190,인턴,2015-09-24,"28,522,202,348","3,611,166",659,"81,589",미국,미국,워너브러더스 코리아(주)
191,귀향,2016-02-24,"27,250,331,990","3,587,256",876,"90,290",한국,한국,(주)와우픽쳐스
192,리얼 스틸,2011-10-12,"26,566,677,000","3,579,666",603,"87,650",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
193,신의 한 수,2014-07-03,"28,812,027,456","3,566,852",794,"77,110",한국,한국,(주)쇼박스
194,코코,2018-01-11,"27,766,173,140","3,516,880","1,177","86,072",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
195,해리 포터와 불의 잔,2005-12-01,"22,097,731,900","3,499,257",504,"45,555",미국,미국,워너브러더스 코리아(주)
196,비긴 어게인,2014-08-13,"27,394,524,441","3,474,686",525,"87,202",미국,미국,판씨네마(주)
197,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155",한국,한국,CJ ENM
198,킹콩,2005-12-14,"21,476,688,172","3,470,059",319,"38,456",미국,미국,UIP코리아
199,부러진 화살,2012-01-18,"25,938,096,000","3,460,212",530,"71,607",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
200,끝까지 간다,2014-05-29,"27,007,718,900","3,450,388",645,"84,904",한국,한국,(주)쇼박스
합계,,,"10,067,306,695,699","1,274,677,592","1,274,677,592","229,980",,,
